timestamp,timestamp_last_signal,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],channel_count,rc_failsafe,rc_lost,input_source
271952330,271951768,41,0,8018,0,1514,1520,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
272452353,272451792,41,0,8054,0,1514,1520,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
272952398,272951838,41,0,8090,0,1514,1520,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
273437512,273436952,41,0,8124,0,1514,1520,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
273932546,273931980,41,0,8160,0,1514,1520,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
274442553,274441992,41,0,8196,0,1514,1520,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
274957609,274957046,41,0,8233,0,1514,1520,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
275454370,275453808,41,0,8268,0,1514,1520,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
275947743,275947182,41,0,8304,0,1514,1520,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
276442753,276442190,41,0,8339,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
276942895,276942334,41,0,8375,0,1514,1520,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
277437849,277437287,41,0,8410,0,1514,1520,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
277943053,277942492,41,0,8446,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
278437954,278437390,41,0,8481,0,1514,1520,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
278958030,278957460,41,0,8519,0,1514,1520,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
279443068,279442507,41,0,8553,0,1514,1520,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
279943106,279942545,41,0,8589,0,1514,1520,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
280443153,280442591,41,0,8625,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
280948213,280947651,41,0,8661,0,1514,1520,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
281448328,281447769,41,0,8696,0,1514,1520,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
281943290,281942730,41,0,8732,0,1514,1520,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
282443348,282442787,41,0,8768,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
282948386,282947824,41,0,8804,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
283448516,283447955,41,0,8839,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
283943494,283942933,41,0,8875,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
284443539,284442976,41,0,8910,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
284948595,284948034,41,0,8946,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
285453628,285453066,41,0,8983,0,1514,1520,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
285943684,285943122,41,0,9018,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
286453729,286453168,41,0,9054,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
286943803,286943241,41,0,9089,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
287443822,287443261,41,0,9125,0,1514,1520,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
287953862,287953302,41,0,9161,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
288443942,288443381,41,0,9196,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
288943998,288943437,41,0,9232,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
289439051,289438448,41,0,9267,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
289954077,289953513,41,0,9304,0,1514,1520,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
290434173,290433602,41,0,9338,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
290954191,290953625,41,0,9376,0,1514,1520,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
291454196,291453634,41,0,9411,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
291939239,291938679,41,0,9446,0,1514,1520,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
292439280,292438720,41,0,9482,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
292954435,292953822,41,0,9518,0,1514,1520,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
293439381,293438818,41,0,9553,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
293939434,293938872,41,0,9589,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
294444470,294443911,41,0,9625,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
294944524,294943963,41,0,9661,0,1514,1520,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
295439598,295439037,41,0,9696,0,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
295939612,295939051,41,0,9732,0,1514,1520,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,18,0,0,4
