timestamp,timestamp_sample,switch_changes,mode_slot,arm_switch,return_switch,loiter_switch,offboard_switch,kill_switch,gear_switch,transition_switch,photo_switch,video_switch
394531861,394501509,3,4,1,0,0,0,3,0,3,0,0
395544591,395516563,3,4,1,0,0,0,3,0,3,0,0
396554362,396526632,3,4,1,0,0,0,3,0,3,0,0
397564392,397536694,3,4,1,0,0,0,3,0,3,0,0
398584522,398556787,3,4,1,0,0,0,3,0,3,0,0
399592053,399564327,3,4,1,0,0,0,3,0,3,0,0
400607239,400579406,3,4,1,0,0,0,3,0,3,0,0
401617205,401586968,3,4,1,0,0,0,3,0,3,0,0
402637305,402609533,3,4,1,0,0,0,3,0,3,0,0
403654808,403624612,3,4,1,0,0,0,3,0,3,0,0
404667568,404639676,3,4,1,0,0,0,3,0,3,0,0
405682508,405654749,3,4,1,0,0,0,3,0,3,0,0
406705119,406677315,3,4,1,0,0,0,3,0,3,0,0
407725142,407695022,3,4,1,0,0,0,3,0,3,0,0
408732712,408702545,3,4,1,0,0,0,3,0,3,0,0
409752922,409722591,3,4,1,0,0,0,3,0,3,0,0
410775453,410747591,3,4,1,0,0,0,3,0,3,0,0
411785440,411757700,3,4,1,0,0,0,3,0,3,0,0
412813099,412782788,3,4,1,0,0,0,3,0,3,0,0
413835687,413805410,3,4,1,0,0,0,3,0,3,0,0
414848235,414817882,3,4,1,0,0,0,3,0,3,0,0
415860737,415832957,3,4,1,0,0,0,3,0,3,0,0
416885830,416858024,3,4,1,0,0,0,3,0,3,0,0
417893390,417865605,3,4,1,0,0,0,3,0,3,0,0
418906094,418878174,3,4,1,0,0,0,3,0,3,0,0
419926203,419895847,3,4,1,0,0,0,3,0,3,0,0
420933812,420903336,3,4,1,0,0,0,3,0,3,0,0
421951151,421923420,3,4,1,0,0,0,3,0,3,0,0
422976394,422948482,3,4,1,0,0,0,3,0,3,0,0
423993769,423963638,3,4,1,0,0,0,3,0,3,0,0
425013895,424983638,3,4,1,0,0,0,3,0,3,0,0
426031621,426003713,3,4,1,0,0,0,3,0,3,0,0
427058975,427028807,3,4,1,0,0,0,3,0,3,0,0
428071638,428043870,3,4,1,0,0,0,3,0,3,0,0
429084661,429056451,3,4,1,0,0,0,3,0,3,0,0
430099272,430071664,3,4,1,0,0,0,3,0,3,0,0
431112110,431081607,3,4,1,0,0,0,3,0,3,0,0
432119629,432089228,3,4,1,0,0,0,3,0,3,0,0
