timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,jamming_state,vel_ned_valid,satellites_used,selected
238854613,1693632382400297,366607241,1263420404,26880,44535,0.284,0.75874907,0.89400005,1.389,0.62,0.93,96,70,0.080000006,-0.076000005,-0.025,-2.9810002,1.8170205,0,nan,0.0,3,0,1,18,0
239253618,1693632382800297,366607241,1263420401,28099,45754,0.28500003,0.7589681,0.892,1.389,0.62,0.93,96,79,0.104,-0.056,-0.08800001,-3.0640001,1.8170205,0,nan,0.0,3,0,1,18,0
239854615,1693632383400298,366607237,1263420396,29941,47596,0.28100002,0.75930077,0.89100003,1.389,0.62,0.93,96,79,0.12200001,-0.12100001,-0.010000001,-3.1000001,1.8170205,0,nan,0.0,3,0,1,18,0
240251636,1693632383800298,366607234,1263420396,31165,48820,0.277,0.7595172,0.89000005,1.389,0.62,0.93,96,76,0.098000005,-0.098000005,0.004,-2.9880002,1.8170205,0,nan,0.0,3,0,1,18,0
240854612,1693632384400298,366607230,1263420400,32984,50639,0.275,0.7598413,0.8880001,1.389,0.62,0.93,96,76,0.08800001,-0.075,0.045,-2.9770002,1.8170205,0,nan,0.0,3,0,1,18,0
241254625,1693632384800298,366607230,1263420405,34231,51886,0.268,0.7600593,0.88600004,1.389,0.62,0.93,96,82,0.096,-0.006,0.096,-3.0790002,1.8170205,0,nan,0.0,3,0,1,18,0
241850050,1693632385400298,366607237,1263420417,36131,53786,0.27,0.738491,0.88400006,1.389,0.59,0.93,96,82,0.12900001,0.068,0.109000005,-3.0690002,1.0769348,0,nan,0.0,3,0,1,19,0
242258612,1693632385800298,366607241,1263420421,37337,54993,0.272,0.73871684,0.882,1.389,0.59,0.93,96,80,0.078,0.051000003,0.059000004,-3.012,1.0769348,0,nan,0.0,3,0,1,19,0
242849624,1693632386400299,366607249,1263420424,39187,56842,0.26900002,0.73905164,0.88000005,1.388,0.59,0.93,96,80,0.093,0.09200001,-0.012,-3.048,1.0769348,0,nan,0.0,3,0,1,19,0
243253612,1693632386800299,366607251,1263420421,40461,58116,0.27400002,0.7392816,0.87900007,1.389,0.62,0.93,96,60,0.143,-0.038000003,-0.13800001,-3.0900002,1.0769348,0,nan,0.0,3,0,1,18,0
243851612,1693632387400299,366607245,1263420409,42276,59931,0.26900002,0.6039413,0.87700003,1.3870001,0.62,0.93,96,60,0.27800003,-0.18100001,-0.21200001,-2.9800003,3.4235992,0,nan,0.0,3,0,1,18,0
244254612,1693632387800299,366607240,1263420401,43503,61158,0.275,0.72426295,0.87600005,1.386,0.62,0.93,96,99,0.22200002,-0.16800001,-0.14600001,-3.0400002,3.7795248,0,nan,0.0,3,0,1,18,0
244849614,1693632388400299,366607232,1263420393,45407,63062,0.275,0.6699481,0.874,1.386,0.62,0.93,96,99,0.136,-0.12900001,-0.045,-3.1330001,3.8373346,0,nan,0.0,3,0,1,18,0
245249613,1693632388800299,366607226,1263420394,46627,64282,0.28,0.67020243,0.873,1.386,0.62,0.93,96,63,0.23300001,-0.22200002,0.071,-3.1390002,3.8373346,0,nan,0.0,3,0,1,18,0
245844612,1693632389400300,366607217,1263420402,48488,66143,0.27600002,0.76059926,0.873,1.3870001,0.62,0.93,96,63,0.22000001,-0.10700001,0.192,-3.0430002,3.4280212,0,nan,0.0,3,0,1,18,0
246244613,1693632389800300,366607213,1263420410,49719,67374,0.27400002,0.76081795,0.87200004,1.3870001,0.62,0.93,96,78,0.21100001,-0.072000004,0.19900002,-3.0260003,3.4280212,0,nan,0.0,3,0,1,18,0
246845612,1693632390400300,366607213,1263420424,51546,69201,0.268,0.7611428,0.87100005,1.3870001,0.62,0.93,96,78,0.24100001,0.05,0.23600002,-2.9540002,3.4280212,0,nan,0.0,3,0,1,18,0
247247621,1693632390800300,366607219,1263420436,52733,70388,0.264,0.50861734,0.87100005,1.3870001,0.59,0.93,96,94,0.33400002,0.223,0.24900001,-2.772,1.3072112,0,nan,0.0,3,0,1,19,0
247847614,1693632391400300,366607232,1263420447,54395,72050,0.264,0.6147619,0.87000006,1.3870001,0.62,0.93,96,94,0.28,0.27800003,0.040000003,-2.426,0.44881663,0,nan,0.0,3,0,1,18,0
248253656,1693632391800300,366607243,1263420447,55332,72987,0.26200002,0.6066801,0.87000006,1.388,0.62,0.93,96,79,0.307,0.282,-0.12100001,-2.032,6.256097,0,nan,0.0,3,0,1,18,0
248847619,1693632392400300,366607256,1263420436,56427,74082,0.25100002,0.5462126,0.869,1.388,0.62,0.93,96,79,0.347,0.23500001,-0.256,-1.4540001,5.5806155,0,nan,0.0,3,0,1,18,0
249253611,1693632392800301,366607261,1263420422,56977,74633,0.254,0.57824796,0.86700004,1.3870001,0.62,0.93,96,62,0.326,0.07,-0.319,-1.199,5.133067,0,nan,0.0,3,0,1,18,0
249849613,1693632393400301,366607256,1263420403,57774,75429,0.28,0.5150899,0.86600006,1.386,0.62,0.93,96,62,0.365,-0.16600001,-0.32500002,-1.0380001,4.340418,0,nan,0.0,3,0,1,18,0
250237612,1693632393800301,366607249,1263420387,58147,75802,0.27600002,0.37936857,0.86700004,1.386,0.62,0.93,96,80,0.48700002,-0.272,-0.404,-0.87100005,4.167892,0,nan,0.0,3,0,1,18,0
250849614,1693632394400301,366607235,1263420369,58536,76191,0.293,0.5692405,0.86800003,1.389,0.62,0.93,96,80,0.31800002,-0.29500002,-0.11800001,-0.588,3.7867842,0,nan,0.0,3,0,1,18,0
251252613,1693632394800301,366607224,1263420364,58746,76401,0.287,0.5717288,0.86800003,1.3900001,0.62,0.93,96,82,0.314,-0.314,-0.017,-0.48000002,3.5159664,0,nan,0.0,3,0,1,18,0
251849614,1693632395400301,366607199,1263420343,58939,76594,0.23600002,0.17940623,0.869,1.3900001,0.62,0.93,96,82,1.051,-0.74600005,-0.74,-0.19100001,3.864793,0,nan,0.0,3,0,1,18,0
252245611,1693632395800301,366607168,1263420302,59016,76671,0.22800002,0.14691414,0.87000006,1.391,0.62,0.93,96,79,1.358,-0.89400005,-1.023,-0.19600001,3.9586217,0,nan,0.0,3,0,1,18,0
252844614,1693632396400302,366607120,1263420252,59206,76861,0.23500001,0.23740247,0.87200004,1.391,0.62,0.93,96,79,0.90700006,-0.786,-0.45200002,-0.16800001,3.7999682,0,nan,0.0,3,0,1,18,0
253258614,1693632396800302,366607089,1263420245,59332,76987,0.23600002,0.2634054,0.874,1.3920001,0.62,0.93,96,79,0.786,-0.786,-0.011000001,-0.17400001,3.3889456,0,nan,0.0,3,0,1,18,0
253854612,1693632397400302,366607070,1263420292,59529,77184,0.19800001,0.14228238,0.87700003,1.3980001,0.62,0.93,96,79,1.406,0.27400002,1.3790001,-0.141,1.6650989,0,nan,0.0,3,0,1,18,0
254252039,1693632397800302,366607099,1263420378,59649,77304,0.2,0.084008105,0.87900007,1.4030001,0.59,0.93,96,80,2.594,1.3100001,2.239,-0.074,1.1582228,0,nan,0.0,3,0,1,19,0
254866634,1693632398400302,366607210,1263420523,59770,77425,0.17,0.0491174,0.87900007,1.4080001,0.59,0.93,96,80,3.3850002,2.785,1.9250001,-0.13800001,0.6873047,0,nan,0.0,3,0,1,19,0
255253613,1693632398800302,366607322,1263420599,59895,77550,0.179,0.04288396,0.87700003,1.411,0.59,0.93,96,73,3.647,3.371,1.3920001,0.123,0.4606229,0,nan,0.0,3,0,1,19,0
255849634,1693632399400303,366607504,1263420659,60010,77665,0.21800001,0.04930014,0.874,1.409,0.62,0.93,96,73,3.2580001,3.2480001,0.259,-0.031000001,0.19093344,0,nan,0.0,3,0,1,18,0
256252731,1693632399800303,366607607,1263420659,60070,77725,0.19600001,0.07340715,0.874,1.406,0.62,0.93,96,98,2.4650002,2.4280002,-0.42600003,-0.022000002,0.002951177,0,nan,0.0,3,0,1,18,0
256849613,1693632400400303,366607691,1263420595,59952,77607,0.192,0.1764903,0.87600005,1.4050001,0.62,0.93,96,98,1.5910001,0.642,-1.455,0.256,5.6019607,0,nan,0.0,3,0,1,18,0
257255613,1693632400800303,366607703,1263420521,59857,77512,0.17500001,0.09539428,0.87700003,1.4030001,0.59,0.93,96,80,1.94,0.051000003,-1.94,0.18,4.8833985,0,nan,0.0,3,0,1,19,0
257851614,1693632401400303,366607703,1263420389,59769,77424,0.18400002,0.12630406,0.87700003,1.4020001,0.59,0.93,96,80,1.8610001,0.046000004,-1.8600001,0.082,4.7264276,0,nan,0.0,3,0,1,19,0
258245613,1693632401800303,366607715,1263420327,59718,77373,0.185,0.21636078,0.87900007,1.406,0.59,0.93,96,81,1.115,0.568,-0.96000004,0.15900001,4.966846,0,nan,0.0,3,0,1,19,0
