timestamp,timestamp_sample,device_id,sensor_sample_rate_hz,resolution_hz,peak_frequencies_x[0],peak_frequencies_x[1],peak_frequencies_x[2],peak_frequencies_y[0],peak_frequencies_y[1],peak_frequencies_y[2],peak_frequencies_z[0],peak_frequencies_z[1],peak_frequencies_z[2],peak_snr_x[0],peak_snr_x[1],peak_snr_x[2],peak_snr_y[0],peak_snr_y[1],peak_snr_y[2],peak_snr_z[0],peak_snr_z[1],peak_snr_z[2]
276724406,276721251,4325386,2000.08,3.9064062,131.93628,nan,nan,nan,132.41583,nan,144.94707,nan,nan,10.678289,nan,nan,nan,13.296442,nan,4.1361666,nan,nan
276729716,276726252,4325386,2000.08,3.9064062,131.93628,nan,nan,nan,132.41583,nan,144.94707,nan,nan,10.678289,nan,nan,nan,13.5044155,nan,4.1361666,nan,nan
276789363,276788758,4325386,2000.08,3.9064062,132.51537,nan,nan,nan,132.44289,nan,144.94707,nan,nan,9.31389,nan,nan,nan,12.741318,nan,4.1361666,nan,nan
276854456,276853764,4325386,2000.08,3.9064062,132.51903,nan,nan,nan,132.4536,nan,144.94707,nan,nan,10.430979,nan,nan,nan,13.212806,nan,4.1361666,nan,nan
276919596,276916271,4325386,2000.08,3.9064062,132.5568,nan,nan,nan,132.5565,nan,144.94707,nan,nan,9.583536,nan,nan,nan,13.198037,nan,4.1361666,nan,nan
276979448,276976277,4325386,2000.08,3.9064062,132.5568,nan,nan,nan,132.5565,nan,144.94707,nan,nan,10.187739,nan,nan,nan,13.198037,nan,4.1361666,nan,nan
276984407,276981277,4325386,2000.08,3.9064062,132.5568,nan,nan,nan,132.58995,nan,144.94707,nan,nan,10.187739,nan,nan,nan,14.022088,nan,4.1361666,nan,nan
277049384,277046283,4325386,2000.08,3.9064062,132.59383,nan,nan,nan,132.65001,nan,144.94707,nan,nan,9.310021,nan,nan,nan,13.731298,nan,4.1361666,nan,nan
277109469,277108790,4325386,2000.08,3.9064062,132.59383,nan,nan,nan,132.6604,nan,144.94707,nan,nan,10.619242,nan,nan,nan,13.623915,nan,4.1361666,nan,nan
277174554,277173796,4325386,2000.08,3.9064062,132.59383,nan,nan,nan,132.65001,nan,144.94707,nan,nan,9.97899,nan,nan,nan,13.150225,nan,4.1361666,nan,nan
277234431,277231302,4325386,2000.08,3.9064062,132.59383,nan,nan,nan,132.65001,nan,144.94707,nan,nan,10.723253,nan,nan,nan,13.150225,nan,4.1361666,nan,nan
277239498,277236302,4325386,2000.08,3.9064062,132.59383,nan,nan,nan,132.65001,nan,144.94707,nan,nan,10.723253,nan,nan,nan,13.613472,nan,4.1361666,nan,nan
277304345,277301309,4325386,2000.08,3.9064062,132.49384,nan,nan,nan,132.61813,nan,144.94707,nan,nan,10.003711,nan,nan,nan,12.666904,nan,4.1361666,nan,nan
277369535,277366315,4325386,2000.08,3.9064062,132.49384,nan,nan,nan,132.58995,nan,144.94707,nan,nan,10.564768,nan,nan,nan,13.193034,nan,4.1361666,nan,nan
277424343,277423821,4325386,2000.08,3.9064062,132.49384,nan,nan,nan,132.58995,nan,144.94707,nan,nan,10.461059,nan,nan,nan,13.193034,nan,4.1361666,nan,nan
277429425,277428821,4325386,2000.08,3.9064062,132.49384,nan,nan,nan,132.57191,nan,144.94707,nan,nan,10.461059,nan,nan,nan,12.993591,nan,4.1361666,nan,nan
277494428,277493828,4325386,2000.08,3.9064062,132.32994,nan,nan,nan,132.49255,nan,144.94707,nan,nan,9.78927,nan,nan,nan,13.341246,nan,4.1361666,nan,nan
277559629,277556334,4325386,2000.08,3.9064062,132.3239,nan,nan,nan,132.28197,nan,144.94707,nan,nan,11.024374,nan,nan,nan,13.239462,nan,4.1361666,nan,nan
277624400,277621340,4325386,2000.08,3.9064062,132.2906,nan,nan,nan,132.28197,nan,144.94707,nan,nan,10.161663,nan,nan,nan,13.5164175,nan,4.1361666,nan,nan
277684379,277681346,4325386,2000.08,3.9064062,132.3239,nan,nan,nan,132.28197,nan,144.94707,nan,nan,10.622452,nan,nan,nan,13.5164175,nan,4.1361666,nan,nan
277689456,277686347,4325386,2000.08,3.9064062,132.3239,nan,nan,nan,132.27599,nan,144.94707,nan,nan,10.622452,nan,nan,nan,13.358566,nan,4.1361666,nan,nan
277749466,277748853,4325386,2000.08,3.9064062,132.30475,nan,nan,nan,132.27345,nan,144.94707,nan,nan,9.344921,nan,nan,nan,13.079618,nan,4.1361666,nan,nan
277814386,277813859,4325386,2000.08,3.9064062,132.2906,nan,nan,nan,132.2689,nan,144.94707,nan,nan,10.344702,nan,nan,nan,13.568333,nan,4.1361666,nan,nan
277874523,277871365,4325386,2000.08,3.9064062,132.30475,nan,nan,nan,132.2689,nan,144.94707,nan,nan,10.240568,nan,nan,nan,13.568333,nan,4.1361666,nan,nan
277879547,277876365,4325386,2000.08,3.9064062,132.30475,nan,nan,nan,132.1403,nan,144.94707,nan,nan,10.240568,nan,nan,nan,12.946245,nan,4.1361666,nan,nan
277944841,277941372,4325386,2000.08,3.9064062,132.23557,nan,nan,nan,132.26108,nan,144.94707,nan,nan,10.55367,nan,nan,nan,13.62405,nan,4.1361666,nan,nan
278009478,278006378,4325386,2000.08,3.9064062,132.26941,nan,nan,nan,132.13571,nan,144.94707,nan,nan,10.641632,nan,nan,nan,13.303421,nan,4.1361666,nan,nan
278069494,278068884,4325386,2000.08,3.9064062,132.26941,nan,nan,nan,132.13266,nan,144.94707,nan,nan,10.768602,nan,nan,nan,12.822722,nan,4.1361666,nan,nan
278129561,278128891,4325386,2000.08,3.9064062,132.21233,nan,nan,nan,132.13266,nan,144.94707,nan,nan,11.31873,nan,nan,nan,12.822722,nan,4.1361666,nan,nan
278134464,278133891,4325386,2000.08,3.9064062,132.21233,nan,nan,nan,132.13266,nan,144.94707,nan,nan,11.31873,nan,nan,nan,13.362255,nan,4.1361666,nan,nan
278199583,278196397,4325386,2000.08,3.9064062,132.21233,nan,nan,nan,132.21306,nan,144.94707,nan,nan,10.005034,nan,nan,nan,13.086405,nan,4.1361666,nan,nan
278264458,278261404,4325386,2000.08,3.9064062,132.25774,nan,nan,nan,132.13266,nan,144.94707,nan,nan,11.045111,nan,nan,nan,13.509828,nan,4.1361666,nan,nan
278324590,278321410,4325386,2000.08,3.9064062,132.21233,nan,nan,nan,132.13266,nan,144.94707,nan,nan,10.277575,nan,nan,nan,13.509828,nan,4.1361666,nan,nan
278329858,278326410,4325386,2000.08,3.9064062,132.21233,nan,nan,nan,132.21306,nan,144.94707,nan,nan,10.277575,nan,nan,nan,12.922634,nan,4.1361666,nan,nan
278389586,278388916,4325386,2000.08,3.9064062,132.21233,nan,nan,nan,132.13266,nan,144.94707,nan,nan,10.724768,nan,nan,nan,13.181145,nan,4.1361666,nan,nan
