timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],drag[0],drag[1],airspeed,beta,hagl,hagl_rate
424845558,424745146,0.10054581,0.1005052,0.21404424,1.0201058,1.0200922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.405522,0.0,0.0,nan,0.0,0.0,0.2502861,0.0035208678,0.0030859446,0.0027714842,0.0,0.0,2.1704087,0.09025678,0.0,0.0
425345618,425245184,0.10057239,0.10056339,0.21409957,1.0204502,1.0204327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.403743,0.0,0.0,nan,0.0,0.0,0.25028366,0.0035208678,0.0030859446,0.0027714842,0.0,0.0,2.1704087,0.09025678,0.0,0.0
425845797,425745222,0.100468345,0.10047456,0.21406774,1.0202363,1.0202197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.405461,0.0,0.0,nan,0.0,0.0,0.2502815,0.0035208678,0.0030859446,0.0027714842,0.0,0.0,2.1704087,0.09025678,0.0,0.0
426345716,426245260,0.100449786,0.100447096,0.21403624,1.0202751,1.0202605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.404403,0.0,0.0,nan,0.0,0.0,0.25027925,0.0035208678,0.0030859446,0.0027714842,0.0,0.0,2.1704087,0.09025678,0.0,0.0
426835704,426735297,0.1004193,0.100423425,0.21405758,1.02223,1.0222166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.405584,0.0,0.0,nan,0.0,0.0,0.25027725,0.0035208678,0.0030859446,0.0027714842,0.0,0.0,2.1704087,0.09025678,0.0,0.0
427335809,427235335,0.1005104,0.1005094,0.21411113,1.0225683,1.0225575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.403791,0.0,0.0,nan,0.0,0.0,0.25027514,0.0035208678,0.0030859446,0.0027714842,0.0,0.0,2.1704087,0.09025678,0.0,0.0
427835849,427735374,0.100466266,0.10046461,0.21407111,1.0245327,1.0245237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4054785,0.0,0.0,nan,0.0,0.0,0.2502732,0.0035208678,0.0030859446,0.0027714842,0.0,0.0,2.1704087,0.09025678,0.0,0.0
428345843,428245413,0.100446954,0.100442976,0.2140728,1.0245351,1.0245281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.404388,0.0,0.0,nan,0.0,0.0,0.25027117,0.0035208678,0.0030859446,0.0027714842,0.0,0.0,2.1704087,0.09025678,0.0,0.0
428845979,428745452,0.1003596,0.10035764,0.21403468,1.0242852,1.0242801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.406104,0.0,0.0,nan,0.0,0.0,0.25026923,0.0035208678,0.0030859446,0.0027714842,0.0,0.0,2.1704087,0.09025678,0.0,0.0
429345876,429245491,0.10041877,0.10041784,0.21410523,1.0265579,1.0265536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.404293,0.0,0.0,nan,0.0,0.0,0.2502672,0.0035208678,0.0030859446,0.0027714842,0.0,0.0,2.1704087,0.09025678,0.0,0.0
