timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count
366128493,366127544,396321,0.32954544,-0.6401515,0.5689394,nan,0
367144355,367143406,396321,0.45681816,-0.610606,0.8863636,nan,0
368133740,368132777,396321,0.5159091,-0.59393936,0.87348485,nan,0
369128420,369127471,396321,0.5560606,-0.5719697,0.7954545,nan,0
370138712,370137762,396321,0.5446969,-0.5037879,0.8212121,nan,0
371133136,371132186,396321,0.5962121,-0.44166666,0.81060606,nan,0
372127308,372126359,396321,0.60681814,-0.375,0.74545455,nan,0
373134023,373133074,396321,0.57575756,-0.37424242,0.84696966,nan,0
374128422,374127473,396321,0.6083333,-0.27727273,0.97575754,nan,0
375139249,375138290,396321,0.55757576,-0.24166666,0.8772727,nan,0
376132664,376131715,396321,0.5098485,-0.19848484,0.7992424,nan,0
377148960,377148011,396321,0.45,-0.15833333,0.93712115,nan,0
378143514,378142564,396321,0.38333333,-0.16287878,0.82651514,nan,0
379137715,379136766,396321,0.3121212,-0.12575758,0.87954545,nan,0
380132179,380131207,396321,0.2280303,-0.13333333,0.8454545,nan,0
381143341,381142392,396321,0.16893938,-0.19848484,0.9015151,nan,0
382137509,382136560,396321,0.109848484,-0.25454545,0.7863636,nan,0
383131896,383130947,396321,0.028787877,-0.3242424,0.7113636,nan,0
384146970,384146021,396321,-0.3121212,-0.017424243,0.32878786,nan,0
385139331,385138382,396321,-0.20454545,0.33863634,0.047727272,nan,0
386133447,386132497,396321,0.098484844,0.38181818,0.16287878,nan,0
387147189,387146239,396321,0.21363635,0.26590908,0.36439392,nan,0
388142807,388141858,396321,0.2621212,-0.18181817,0.860606,nan,0
389137620,389136671,396321,0.8848485,-0.1280303,1.1560606,nan,0
390134070,390133121,396321,0.70984846,-0.29545453,0.65,nan,0
391129131,391128182,396321,0.5833333,-0.55454546,0.87121207,nan,0
392145803,392144854,396321,0.49999997,-0.6621212,0.8878788,nan,0
393141788,393140839,396321,0.880303,-0.81136364,1.4030303,nan,0
394136873,394135924,396321,1.0431818,-0.68863636,1.4886364,nan,0
395132467,395131518,396321,1.0015152,-0.49166664,1.3371211,nan,0
396127759,396126809,396321,0.8962121,-0.4643939,1.1931818,nan,0
397144306,397143357,396321,1.0113636,-0.5295454,1.3325757,nan,0
398135980,398135031,396321,0.7386363,-0.3840909,0.9924242,nan,0
399129483,399128534,396321,0.6712121,-0.36666664,0.90378785,nan,0
400145647,400144699,396321,0.71363634,-0.37045452,0.99393934,nan,0
401141455,401140506,396321,0.8045454,-0.40984848,1.0537878,nan,0
402136754,402135779,396321,0.6742424,-0.32272726,0.9333333,nan,0
403131567,403130618,396321,0.6931818,-0.3272727,0.9439394,nan,0
404127506,404126557,396321,0.74545455,-0.3469697,1.0204545,nan,0
405144095,405143146,396321,0.6878788,-0.3090909,0.94469696,nan,0
406138960,406137926,396321,0.63560605,-0.2780303,0.855303,nan,0
407133279,407132330,396321,0.57045454,-0.2931818,0.9090909,nan,0
408128153,408127204,396321,0.6530303,-0.3409091,1.0189394,nan,0
409145712,409144763,396321,0.5901515,-0.39999998,0.9530303,nan,0
410140274,410139324,396321,0.71060604,-0.5037879,1.1454545,nan,0
411135496,411134517,396321,0.6765151,-0.41969696,0.94772726,nan,0
412131271,412130322,396321,0.730303,-0.34469697,1.0204545,nan,0
413125911,413124962,396321,0.7492424,-0.35075757,0.9984848,nan,0
414143200,414142229,396321,0.75151515,-0.39545453,1.0666666,nan,0
415138665,415137717,396321,0.7886363,-0.5560606,1.2492424,nan,0
416133276,416132326,396321,0.6772727,-0.47424242,1.0651515,nan,0
417128078,417127129,396321,0.70757574,-0.29545453,0.9462121,nan,0
418145285,418144336,396321,0.7704545,-0.40681818,1.0613636,nan,0
419141238,419140289,396321,0.69545454,-0.4431818,1.010606,nan,0
420137272,420136323,396321,0.74090904,-0.49469694,1.1416667,nan,0
421132003,421131054,396321,0.6962121,-0.48484847,1.0651515,nan,0
422148763,422147814,396321,0.6272727,-0.48030302,0.9946969,nan,0
423141893,423140943,396321,0.6666666,-0.4810606,1.0515151,nan,0
424133955,424133006,396321,0.6772727,-0.4643939,0.985606,nan,0
425128994,425128034,396321,0.6469697,-0.4469697,1.0151515,nan,0
426147261,426146312,396321,0.6848485,-0.475,1.0393939,nan,0
427142460,427141511,396321,0.6757575,-0.47045454,1.0424242,nan,0
428138322,428137373,396321,0.6696969,-0.4643939,1.0462121,nan,0
429133255,429132306,396321,0.68030304,-0.47727272,1.0204545,nan,0
430129272,430128323,396321,0.6636363,-0.45,0.94242424,nan,0
431145630,431144681,396321,0.6340909,-0.42651513,1.0128788,nan,0
432140350,432139401,396321,0.6560606,-0.45151514,1.010606,nan,0
433134635,433133686,396321,0.625,-0.4272727,0.96969694,nan,0
434131344,434130394,396321,0.6666666,-0.4333333,0.99090904,nan,0
435147283,435146334,396321,0.6431818,-0.4212121,0.9681818,nan,0
436142013,436141036,396321,0.6772727,-0.4409091,1.0613636,nan,0
437138262,437137313,396321,0.6545454,-0.4242424,0.96666664,nan,0
438132685,438131736,396321,0.6727272,-0.43636364,1.0318182,nan,0
439128427,439127478,396321,0.69772726,-0.45681816,1.0484848,nan,0
440145682,440144718,396321,0.6969697,-0.4439394,1.05,nan,0
441140845,441139896,396321,0.68030304,-0.4469697,1.0060606,nan,0
442136999,442136049,396321,0.6484848,-0.42878786,0.9742424,nan,0
443132220,443131270,396321,0.6613636,-0.44469696,1.0090909,nan,0
444144473,444143523,396321,0.6651515,-0.45075756,1.0151515,nan,0
445138127,445137177,396321,0.62954545,-0.43863636,0.9833333,nan,0
446133194,446132232,396321,0.6371212,-0.42196968,0.94772726,nan,0
447128067,447127117,396321,0.6545454,-0.41590908,0.9984848,nan,0
448144299,448143350,396321,0.6666666,-0.40378785,0.9181818,nan,0
449140074,449139124,396321,0.6575757,-0.3840909,0.96969694,nan,0
