timestamp,timestamp_sample,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
222854496,222755398,0.004275878,0.0026281276,0.0049776323,1114775,0,0.35589558,0.39529744,0.6329738,0.024939507,0.0075138584,0.029254347,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,895,2,1,2,0,3,0,0,0,0,1,0,0
223052066,222952956,0.005655081,0.002096414,0.013145766,1114775,0,0.35528994,0.39429417,0.71775556,0.018809177,0.0064373715,0.0549287,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,895,2,1,2,0,3,0,0,0,0,1,0,0
223259624,223160392,0.006580023,0.00582222,0.027292985,1114775,0,0.35556445,0.3939914,0.750066,0.020398835,0.0062775128,0.04040872,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,895,2,1,2,0,3,0,0,0,0,1,0,0
223457071,223357949,0.005535229,0.0056310813,0.029076383,1114775,0,0.3549409,0.39301467,0.7480297,0.036767304,0.007844532,0.027302833,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,895,2,1,2,0,3,0,0,0,0,1,0,0
223654635,223555507,0.0058414442,0.0008960466,0.009506479,1114775,0,0.3543286,0.3945424,0.64004856,0.072299205,0.0065218643,0.06623583,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,895,2,1,2,0,3,0,0,0,0,1,0,0
223852169,223753065,0.0039564134,0.0068919603,0.010055926,1114775,0,0.35371658,0.39357266,0.60189754,0.0617562,0.008896779,1.1754944e-38,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,895,2,1,2,0,3,0,0,0,0,1,0,0
224059644,223960501,0.0046830066,0.0068668965,0.013982072,1114775,0,0.3539117,0.39328432,0.65078473,0.06530252,0.009602,0.026096608,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,895,2,1,2,0,3,0,0,0,0,1,0,0
224257303,224158061,0.005690748,0.0069058267,0.016772514,1114775,0,0.33657297,0.39042324,0.65157074,0.034715585,0.008144701,0.01789001,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,831,2,1,2,0,3,0,0,0,0,1,0,0
224454719,224355618,0.00423071,0.0030357153,0.014328977,1114775,0,0.35270587,0.3938811,0.61214525,0.034715585,0.008144701,0.005720441,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,831,2,1,2,0,3,0,0,0,0,1,0,0
224662150,224563052,0.0045957128,0.0060854186,0.01073998,1114775,0,0.35288385,0.39360055,0.6184944,0.054450493,0.009304812,0.009641401,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,831,2,1,2,0,3,0,0,0,0,1,0,0
224859776,224760610,0.0054624635,0.0061046514,0.012199678,1114775,0,0.35225207,0.39514568,0.6267033,0.09219134,0.0068036197,0.01828743,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,831,2,1,2,0,3,0,0,0,0,1,0,0
225057263,224958168,0.0043158284,0.0070645087,0.015369194,1114775,0,0.3515772,0.39417255,0.62111396,0.0850509,0.009621,0.006416612,0.0,0.0,0.0,0.0,2490378,2490378,4028193,396321,0,0,831,2,1,2,0,3,0,0,0,0,1,0,0
