timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_type_parachute,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_obstacle_avoidance,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,avoidance_system_healthy,parachute_system_healthy
260015692,1200.0,0.5867378,1053.6139,0.0,9099,0,41.786385,384,1,0,0,38,0.0026041667,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260948721,1200.0,0.5867378,1506.2302,0.0,9138,0,41.674355,387,1,0,0,38,0.0025839794,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261986691,1200.0,0.5867378,1377.2946,0.0,9180,0,67.33,389,1,0,0,38,0.002570694,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263017172,1200.0,0.5867378,1096.9031,0.0,9214,0,41.95804,391,1,0,0,38,0.0025575447,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264098691,1200.0,0.5867378,1550.8641,0.0,9267,0,41.915245,393,1,0,0,38,0.0025445293,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264996690,1200.0,0.5867378,1184.1056,0.0,9303,0,41.79196,395,1,0,0,38,0.0025316456,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266023717,1200.0,0.5867378,1203.7773,0.0,9336,0,41.7495,397,1,0,0,38,0.0025188916,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267071735,1200.0,0.5867378,1264.3564,0.0,9377,0,41.58416,399,1,0,0,38,0.0025062656,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268004713,1200.0,0.5867378,1413.1737,0.0,9409,0,41.91617,401,1,0,0,38,0.0024937657,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269022713,1200.0,0.5867378,1258.6495,0.0,9450,0,41.62463,403,1,0,0,38,0.0024813896,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270113690,1200.0,0.5867378,1096.3442,0.0,9490,0,41.708748,405,1,0,0,38,0.002469136,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271024692,1200.0,0.5867378,1539.9216,0.0,9523,0,41.91621,408,1,0,0,38,0.0024509805,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272021825,1200.0,0.5867378,1193.1035,0.0,9562,0,66.99507,410,1,0,0,38,0.0024390244,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273090693,1200.0,0.5867378,1278.2219,0.0,9603,0,41.941658,412,1,0,0,38,0.0024271845,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274101839,1200.0,0.5867378,1463.2969,0.0,9650,0,41.72333,414,1,0,0,38,0.002415459,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275017769,1200.0,0.5867378,1239.0709,0.0,9681,0,41.833584,416,1,0,0,38,0.0024038462,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276089757,1200.0,0.5867378,1336.6534,0.0,9732,0,41.832672,418,1,0,0,38,0.0023923444,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277095713,1200.0,0.5867378,1287.4252,0.0,9774,0,41.91617,420,1,0,0,38,0.0023809525,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278152692,1200.0,0.5867378,1390.8275,0.0,9807,0,41.874374,422,1,0,0,38,0.0023696683,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279092697,1200.0,0.5867378,1383.1683,0.0,9842,0,41.58416,424,1,0,0,38,0.0023584906,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280101814,1200.0,0.5867378,1079.444,0.0,9879,0,41.708046,426,1,0,0,38,0.0023474179,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281175173,1200.0,0.5867378,1501.6943,0.0,9920,0,41.82438,428,1,0,0,38,0.0023364485,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282093747,1200.0,0.5867378,1163.0898,0.0,9964,0,41.716286,430,1,0,0,38,0.0023255814,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283106693,1200.0,0.5867378,1461.8102,0.0,10003,0,41.624424,432,1,0,0,38,0.0023148148,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284150714,1200.0,0.5867378,1522.8976,0.0,10047,0,41.750458,434,1,0,0,38,0.0023041475,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285187711,1200.0,0.5867378,1284.9576,0.0,10082,0,41.70651,436,1,0,0,38,0.0022935779,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286106704,1200.0,0.5867378,1253.5105,0.0,10117,0,41.91675,438,1,0,0,38,0.002283105,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287162845,1200.0,0.5867378,1034.8616,0.0,10157,0,41.83271,440,1,0,0,38,0.0022727272,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288100751,1200.0,0.5867378,1429.718,0.0,10188,0,41.874584,442,1,0,0,38,0.0022624435,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289104693,1200.0,0.5867378,1283.4548,0.0,10228,0,41.916878,444,1,0,0,38,0.0022522523,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290184739,1200.0,0.5867378,1312.3293,0.0,10271,0,41.914703,446,1,0,0,38,0.0022421526,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291092799,1200.0,0.5867378,1514.9474,0.0,10312,0,41.91554,449,1,0,0,38,0.0022271716,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292041755,1200.0,0.5867378,1140.7755,0.0,10346,0,67.86765,451,1,0,0,38,0.0022172949,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293183692,1200.0,0.5867378,1296.9216,0.0,10387,0,41.708046,453,1,0,0,38,0.0022075055,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294119712,1200.0,0.5867378,1225.9664,0.0,10426,0,41.625374,455,1,0,0,38,0.0021978023,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295373911,1200.0,0.5867378,1360.835,0.0,10465,0,41.7495,456,1,0,0,38,0.0021929825,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296382692,1200.0,0.5867378,1396.4321,0.0,10504,0,20.812687,457,1,0,0,38,0.0021881838,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296632714,1200.0,0.5867378,1396.4321,0.0,10513,0,20.812687,457,1,0,0,38,0.0021881838,0,0,1,1,1,1,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297892841,1200.0,0.5867378,1529.9756,0.0,10562,0,20.999664,459,1,0,0,38,0.0021786492,0,0,1,1,1,1,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299144740,1200.0,0.5867378,1078.5845,0.0,10608,0,20.895086,460,1,0,0,38,0.002173913,0,0,1,1,1,1,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300399784,1200.0,0.5867378,1349.849,0.0,10651,0,20.827942,461,1,0,0,38,0.0021691974,0,0,1,1,1,1,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301406719,1200.0,0.5867378,1357.6893,0.0,10701,0,20.96432,462,1,0,0,38,0.0021645022,0,0,1,1,1,1,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302161891,1200.0,0.5867378,1453.5376,0.0,10729,0,20.935728,464,9,0,0,38,0.019396551,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303106758,1200.0,0.5867378,1293.3561,0.0,10767,0,41.946686,466,9,0,0,38,0.019313306,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304106818,1200.0,0.5867378,1086.802,0.0,10806,0,41.761833,468,9,0,0,38,0.01923077,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305154713,1200.0,0.5867378,1398.9961,0.0,10845,0,41.73142,470,9,0,0,38,0.019148936,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306123713,1200.0,0.5867378,1346.9526,0.0,10891,0,41.936256,472,9,0,0,38,0.019067796,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307107749,1200.0,0.5867378,1314.3713,0.0,10922,0,41.91617,474,9,0,0,38,0.01898734,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308171152,1200.0,0.5867378,1512.4625,0.0,10965,0,41.874374,476,9,0,0,38,0.018907564,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309106765,1200.0,0.5867378,1059.9491,0.0,10995,0,41.997982,478,9,0,0,38,0.018828452,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310246691,1200.0,0.5867378,1382.7327,0.0,11038,0,41.750378,480,9,0,0,38,0.01875,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311199717,1200.0,0.5867378,1135.6738,0.0,11080,0,41.58527,483,9,0,0,38,0.01863354,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312189712,1200.0,0.5867378,1344.9651,0.0,11109,0,67.79661,485,9,0,0,38,0.018556701,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313261691,1200.0,0.5867378,1340.9075,0.0,11151,0,41.9971,487,9,0,0,38,0.018480493,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314197841,1200.0,0.5867378,1164.9259,0.0,11184,0,41.710903,489,9,0,0,38,0.018404908,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315194798,1200.0,0.56512696,1477.0917,0.0,11223,0,41.832672,491,9,0,0,38,0.018329939,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316229691,1200.0,0.56512696,1157.1875,0.0,11262,0,41.79009,493,9,0,0,38,0.018255578,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317168707,1200.0,0.56512696,1265.9019,0.0,11293,0,41.667618,495,9,0,0,38,0.018181818,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318195694,1200.0,0.56512696,1267.4208,0.0,11338,0,41.815926,497,9,0,0,38,0.018108651,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319238773,1200.0,0.56512696,1424.1484,0.0,11371,0,41.9749,499,9,0,0,38,0.018036073,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320273739,1200.0,0.56512696,1235.7642,0.0,11409,0,41.95804,501,9,0,0,38,0.017964073,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321192692,1200.0,0.56512696,1071.3058,0.0,11438,0,41.623352,504,9,0,0,38,0.017857144,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322240750,1200.0,0.56512696,1523.4108,0.0,11480,0,67.530594,506,9,0,0,38,0.01778656,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323199771,1200.0,0.56512696,1133.7292,0.0,11526,0,41.916042,508,9,0,0,38,0.017716536,0,0,1,1,1,1,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
