timestamp,timestamp_sample,position_drift_rate_horizontal_m_s,position_drift_rate_vertical_m_s,filtered_horizontal_speed_m_s,checks_passed,check_fail_gps_fix,check_fail_min_sat_count,check_fail_max_pdop,check_fail_max_horz_err,check_fail_max_vert_err,check_fail_max_spd_err,check_fail_max_horz_drift,check_fail_max_vert_drift,check_fail_max_horz_spd_err,check_fail_max_vert_spd_err
256262565,256137792,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
257269591,257140674,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
258257952,258130674,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
259255132,259127692,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
260263068,260129682,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
261270295,261138674,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
262268359,262138059,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
263255598,263123148,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
264263429,264133469,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
265270684,265138697,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
266258809,266133846,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
267256164,267128675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
268263798,268135674,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
269261508,269133675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
270259144,270134674,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
271266718,271133740,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
272264386,272138946,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
273262070,273132673,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
274259768,274131673,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
275257450,275131674,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
276245300,276117697,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
277252849,277123675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
278250556,278125710,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
279258065,279127675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
280255935,280128674,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
281263343,281129730,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
282251123,282124898,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
283258686,283131675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
284266260,284136673,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
285263984,285133673,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
286261626,286132673,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
287269344,287137674,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
288257114,288129680,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
289254640,289121674,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
290262267,290131673,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
291259877,291128673,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
292257597,292131680,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
293265125,293137679,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
294262829,294132675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
295260485,295132672,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
296268099,296135696,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
297265746,297136675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
298263517,298129676,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
299261685,299133676,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
300258930,300131674,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
301256975,301128791,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
302254244,302121694,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
303272089,303138673,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
304269398,304138674,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
305277293,305147675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
306264610,306132675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
307262592,307131680,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
308259865,308134675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
309257686,309128675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
310255298,310130676,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
311262890,311131674,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
312260442,312131675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
313258090,313131674,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
314265652,314131675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
315253443,315122693,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
316260984,316135690,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
317258607,317131673,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
318256300,318128675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
319254035,319126675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
320261491,320131674,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
321259175,321130684,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
322256799,322125675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
323254490,323125676,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
324252141,324126675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
325259771,325129699,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
326257470,326130697,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
327264948,327131675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
328242773,328116676,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
329260211,329133833,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
330257890,330127675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
331265368,331131676,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
332263054,332131675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
333260697,333133676,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
334258390,334129698,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
335256013,335130680,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
336263610,336129675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
337251419,337126775,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
338258937,338131752,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
339256553,339125674,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
340264071,340134675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
341252055,341125694,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
342259900,342125675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
343257220,343132681,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
344265146,344130675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
345262371,345135674,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
346260368,346129693,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
347267541,347133674,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
348256082,348126675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
349252998,349125682,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
350250917,350123674,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
351258243,351129676,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
352246099,352120682,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
353263307,353135724,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
354241135,354109675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
355248758,355119675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
356246479,356119674,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
357244050,357119674,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
358251582,358126045,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
359259085,359126688,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
360256700,360128675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
361254408,361125674,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
362251996,362125675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
363259524,363134727,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
364257234,364129674,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
365264803,365135673,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
366252588,366123695,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
367240275,367113681,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
368257830,368130674,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
369255302,369125674,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
370252958,370120673,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
371260474,371128674,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
372248254,372120709,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
373245956,373119676,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
374253457,374126674,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
375261010,375134681,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
376248952,376121676,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
377256348,377128717,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
378253931,378120676,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
379251593,379118676,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
380239398,380109676,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
381256773,381128674,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
382244500,382118676,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
383271805,383144675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
384249652,384123682,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
385247306,385119675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
386244853,386118246,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
387252401,387123214,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
388250160,388124675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
389247731,389121674,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
390255175,390124674,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
391253316,391128675,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
392250585,392125980,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
393248923,393124070,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
