timestamp,last_instance_change,instance_changed_count,accel_device_id,baro_device_id,gyro_device_id,mag_device_id,combined_test_ratio[0],combined_test_ratio[1],combined_test_ratio[2],combined_test_ratio[3],combined_test_ratio[4],combined_test_ratio[5],combined_test_ratio[6],combined_test_ratio[7],combined_test_ratio[8],relative_test_ratio[0],relative_test_ratio[1],relative_test_ratio[2],relative_test_ratio[3],relative_test_ratio[4],relative_test_ratio[5],relative_test_ratio[6],relative_test_ratio[7],relative_test_ratio[8],accumulated_gyro_error[0],accumulated_gyro_error[1],accumulated_gyro_error[2],accumulated_gyro_error[3],accumulated_accel_error[0],accumulated_accel_error[1],accumulated_accel_error[2],accumulated_accel_error[3],primary_instance,instances_available,healthy[0],healthy[1],healthy[2],healthy[3],healthy[4],healthy[5],healthy[6],healthy[7],healthy[8],gyro_fault_detected,accel_fault_detected
227319553,12478544,3,4259850,4028193,4325386,396321,0.035814244,0.040606037,0.036949575,0.041893877,nan,nan,nan,nan,nan,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
228319746,12478544,3,4259850,4028193,4325386,396321,0.07377429,0.0619076,0.07791663,0.063549966,nan,nan,nan,nan,nan,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
229329756,12478544,3,4259850,4028193,4325386,396321,0.031262662,0.029422324,0.031217718,0.029424446,nan,nan,nan,nan,nan,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
230329882,12478544,3,4259850,4028193,4325386,396321,0.056716833,0.062353518,0.050012648,0.055837736,nan,nan,nan,nan,nan,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
231330002,12478544,3,4259850,4028193,4325386,396321,0.050594293,0.05156939,0.053507898,0.05340141,nan,nan,nan,nan,nan,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
232340016,12478544,3,4259850,4028193,4325386,396321,0.03835012,0.038624145,0.030499008,0.027757347,nan,nan,nan,nan,nan,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
233340171,12478544,3,4259850,4028193,4325386,396321,0.046335254,0.043952405,0.046204623,0.04086453,nan,nan,nan,nan,nan,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
234340248,12478544,3,4259850,4028193,4325386,396321,0.028215285,0.02827197,0.0252251,0.023847584,nan,nan,nan,nan,nan,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
235350323,12478544,3,4259850,4028193,4325386,396321,0.049314834,0.04832846,0.054207154,0.049532473,nan,nan,nan,nan,nan,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
236350366,12478544,3,4259850,4028193,4325386,396321,0.009728998,0.01360854,0.012921521,0.017307475,nan,nan,nan,nan,nan,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
237350464,12478544,3,4259850,4028193,4325386,396321,0.02771394,0.029206546,0.024482084,0.028677505,nan,nan,nan,nan,nan,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
238350546,12478544,3,4259850,4028193,4325386,396321,0.023699388,0.020845944,0.021660598,0.019987412,nan,nan,nan,nan,nan,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
239350632,12478544,3,4259850,4028193,4325386,396321,0.056267206,0.05664539,0.05686503,0.056667484,nan,nan,nan,nan,nan,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
240350705,12478544,3,4259850,4028193,4325386,396321,0.03939532,0.037858315,0.03876692,0.037829615,nan,nan,nan,nan,nan,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
241350884,12478544,3,4259850,4028193,4325386,396321,0.06310512,0.04482396,0.04585689,0.044856235,nan,nan,nan,nan,nan,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
242351029,12478544,3,4259850,4028193,4325386,396321,0.049612965,0.050174326,0.050483633,0.050140426,nan,nan,nan,nan,nan,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
243361018,12478544,3,4259850,4028193,4325386,396321,0.042027492,0.11292149,0.113157764,0.11295908,nan,nan,nan,nan,nan,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
244361032,12478544,3,4259850,4028193,4325386,396321,0.033797864,0.040968947,0.022857172,0.028705293,nan,nan,nan,nan,nan,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
245361216,12478544,3,4259850,4028193,4325386,396321,0.050726518,0.06261796,0.03833114,0.037287295,nan,nan,nan,nan,nan,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,0,4,1,1,1,1,0,0,0,0,0,0,0
