timestamp,time_utc_usec,device_id,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,heading_accuracy,automatic_gain_control,fix_type,jamming_state,vel_ned_valid,satellites_used
262048613,1693632405600304,11010053,366608095,1263420487,59187,76842,0.22800002,0.5995228,0.89400005,1.4210001,0.69,1.01,96,76,0.347,-0.127,-0.323,-0.091000006,4.6184607,0,nan,0.0,0.0,1092,3,0,1,17
263045613,1693632406600305,11010053,366608081,1263420453,59148,76803,0.21400002,0.58388066,0.89500004,1.424,0.64,1.01,96,81,0.3,-0.22100002,-0.20300001,-0.004,4.0780106,0,nan,0.0,0.0,1092,3,0,1,18
264048613,1693632407600305,11010053,366608061,1263420446,59219,76874,0.14600001,0.56546515,0.896,1.4280001,0.62,0.93,96,79,0.27100003,-0.17,0.21100001,0.082,3.5120714,0,nan,0.0,0.0,1092,3,0,1,18
265050613,1693632408600305,11010053,366608129,1263420758,59200,76855,0.18400002,0.03554293,0.89500004,1.424,0.62,0.93,97,70,5.3700004,1.6270001,5.117,-0.093,1.2734168,0,nan,0.0,0.0,1092,3,0,1,18
266049612,1693632409600306,11010053,366608385,1263421528,59428,77083,0.19100001,0.016484285,0.89100003,1.4180001,0.62,0.93,97,89,9.583,4.21,8.609,0.22200002,1.1160342,0,nan,0.0,0.0,1092,3,0,1,18
267040617,1693632410600306,11010053,366608891,1263422678,58957,76613,0.21900001,0.01325752,0.88900006,1.414,0.62,0.93,97,90,13.885,7.13,11.9140005,0.59400004,1.0314773,0,nan,0.0,0.0,1092,3,0,1,18
268051614,1693632411600306,11010053,366609613,1263424158,58849,76505,0.208,0.009783617,0.88900006,1.4130001,0.59,0.93,97,90,16.979,8.712001,14.574,0.036000002,1.0320246,0,nan,0.0,0.0,1092,3,0,1,19
269048633,1693632412600306,11010053,366610439,1263425910,59329,76985,0.20500001,0.009946631,0.89000005,1.4120001,0.62,0.93,97,96,18.729,9.387,16.207,-0.80200005,1.0458224,0,nan,0.0,0.0,1092,3,0,1,18
270047624,1693632413600307,11010053,366611154,1263427781,59989,77646,0.23500001,0.011015645,0.89900005,1.4120001,0.59,0.93,97,96,19.18,4.543,18.634,-0.531,1.3316607,0,nan,0.0,0.0,1092,3,0,1,19
271042613,1693632414600307,11010053,366611149,1263429880,60623,78280,0.22800002,0.012669519,0.90500003,1.414,0.59,0.93,97,95,18.481,-1.7580001,18.398,0.77000004,1.6660866,0,nan,0.0,0.0,1092,3,0,1,19
272059147,1693632415600307,11010053,366611054,1263431959,58761,76418,0.25300002,0.010288541,0.91,1.424,0.59,0.93,97,94,19.009,0.257,19.007,2.332,1.5572835,0,nan,0.0,0.0,1092,3,0,1,19
273046614,1693632416600308,11010053,366611251,1263434114,57023,74681,0.21000001,0.009737017,0.91,1.429,0.59,0.93,97,99,19.728,3.5060003,19.414001,1.598,1.3921416,0,nan,0.0,0.0,1092,3,0,1,19
274044636,1693632417600308,11010053,366611639,1263436281,55650,73309,0.202,0.009639802,0.90900004,1.4330001,0.59,0.93,97,78,20.055,4.918,19.443,1.225,1.3230488,0,nan,0.0,0.0,1092,3,0,1,19
275049612,1693632418600308,11010053,366612096,1263438469,54991,72650,0.19100001,0.008872206,0.906,1.434,0.59,0.93,97,76,20.29,5.1400003,19.628,0.536,1.3146975,0,nan,0.0,0.0,1092,3,0,1,19
