timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
299961301,299960940,19482731,36.660603099999996,126.342033,325.69382,-137.58583,-44.38844,-0.24226284,0.2600576,0.0017089844,13.334756,-12.274342,-0.17312226,-0.22035247,-0.71592855,1.0924311,0.006829113,-1.6864852,-0.93619406,0.27587682,-0.63779473,0.47850358,13.965662,48.966232,0.339092,0.39147007,0.13993311,0.10605465,inf,inf,inf,inf,1,1,1,1,5,3,5,4,6,1,1,1,0,0
300051419,300050948,19482731,36.660603099999996,126.342033,326.89133,-138.68692,-44.409756,-0.24226284,0.2600576,0.0017089844,13.345661,-12.267501,-0.14872675,-0.19786455,-0.71592855,1.0924311,0.006829113,0.6640783,0.989321,-1.4493027,-0.63086647,0.47850358,13.965662,48.98755,0.34677818,0.39263603,0.14386588,0.107282646,inf,inf,inf,inf,1,1,1,1,5,3,5,4,6,1,1,1,0,0
300161326,300160958,19482731,36.660603099999996,126.342033,328.34692,-140.02794,-44.437428,-0.24226284,0.2600576,0.0017089844,13.344867,-12.253661,-0.14033824,-0.19517116,-0.71592855,1.0924311,0.006829113,-0.23670422,-0.14896905,1.6600999,-0.6206416,0.47850358,13.965662,49.01522,0.33898044,0.3907399,0.13960706,0.10597731,inf,inf,inf,inf,1,1,1,1,5,3,5,4,6,1,1,1,0,0
300261636,300260967,19482731,36.660603099999996,126.342033,329.6754,-141.24667,-44.44896,-0.24226284,0.2600576,0.0017089844,13.354418,-12.211398,-0.1481438,-0.19382471,-0.71592855,1.0924311,0.006829113,-0.38159117,1.1897513,-1.8927089,-0.6120118,0.47850358,13.965662,49.026752,0.33079427,0.3882385,0.13510069,0.10446636,inf,inf,inf,inf,1,1,1,1,5,3,5,4,6,1,1,1,0,0
300361361,300360976,19482731,36.660603099999996,126.342033,331.039,-142.4904,-44.45731,-0.24226284,0.2600576,0.0017089844,13.352247,-12.178289,-0.097477496,-0.13463761,-0.71592855,1.0924311,0.006829113,-0.8423649,-1.004141,1.804575,-0.6066378,0.47850358,13.965662,49.035103,0.338858,0.39246482,0.1396025,0.10616985,inf,inf,inf,inf,1,1,1,1,5,3,5,4,6,1,1,1,0,0
300461350,300460984,19482731,36.660603099999996,126.342033,332.37103,-143.70134,-44.470665,-0.24226284,0.2600576,0.0017089844,13.363033,-12.136353,-0.020878818,-0.060394317,-0.71592855,1.0924311,0.006829113,0.20454232,1.5284019,0.058195926,-0.6014704,0.47850358,13.965662,49.04846,0.34741414,0.39433056,0.14404538,0.10760076,inf,inf,inf,inf,1,1,1,1,5,3,5,4,6,1,1,1,0,0
300551373,300550992,19482731,36.660603099999996,126.342033,333.5646,-144.78793,-44.47336,-0.24226284,0.2600576,0.0017089844,13.368841,-12.123024,0.06479036,0.024263775,-0.71592855,1.0924311,0.006829113,1.763678,0.92487854,1.5904186,-0.5977756,0.47850358,13.965662,49.05115,0.3376331,0.39102727,0.13852057,0.10584107,inf,inf,inf,inf,1,1,1,1,5,3,5,4,6,1,1,1,0,0
300661379,300661002,19482731,36.660603099999996,126.342033,335.01532,-146.10774,-44.45662,-0.24226284,0.2600576,0.0017089844,13.366039,-12.117142,0.13230845,0.10197639,-0.71592855,1.0924311,0.006829113,-1.261366,-0.43025026,-0.39653888,-0.59394443,0.47850358,13.965662,49.034412,0.34696618,0.39355183,0.14308488,0.10746617,inf,inf,inf,inf,1,1,1,1,5,3,5,4,6,1,1,1,0,0
300751374,300751010,19482731,36.660603099999996,126.342033,336.20438,-147.19266,-44.449703,-0.24226284,0.2600576,0.0017089844,13.374296,-12.101355,0.11037725,0.0790595,-0.71592855,1.0924311,0.006829113,0.961858,1.726064,-1.9703016,-0.5910085,0.47850358,13.965662,49.027496,0.33737603,0.39028987,0.13785084,0.1057431,inf,inf,inf,inf,1,1,1,1,5,3,5,4,6,1,1,1,0,0
300861596,300861022,19482731,36.660603099999996,126.342033,337.6551,-148.51152,-44.456688,-0.24226284,0.2600576,0.0017089844,13.377327,-12.066534,-0.028936557,-0.067562796,-0.71592855,1.0924311,0.006829113,-0.47320485,-0.9736223,0.41629723,-0.5899171,0.47850358,13.965662,49.03448,0.3300593,0.38845667,0.13407546,0.104433745,inf,inf,inf,inf,1,1,1,1,5,3,5,4,6,1,1,1,0,0
300961474,300961029,19482731,36.660603099999996,126.342033,338.98233,-149.7125,-44.466854,-0.24226284,0.2600576,0.0017089844,13.392701,-12.01837,-0.14879896,-0.18356004,-0.71592855,1.0924311,0.006829113,0.5986088,1.531465,-2.1523075,-0.59295344,0.47850358,13.965662,49.044647,0.33807468,0.39023,0.1390233,0.10587003,inf,inf,inf,inf,1,1,1,1,5,3,5,4,6,1,1,1,0,0
301061638,301061037,19482731,36.660603099999996,126.342033,340.322,-150.91321,-44.47399,-0.24226284,0.2600576,0.0017089844,13.451698,-11.92751,-0.1242448,-0.14773344,-0.71592855,1.0924311,0.006829113,1.0058936,0.7284208,1.6442444,-0.5993417,0.47850358,13.965662,49.051785,0.3299275,0.39015007,0.13502215,0.10462344,inf,inf,inf,inf,1,1,1,1,5,3,5,4,6,1,1,1,0,0
301161448,301161046,19482731,36.660603099999996,126.342033,341.66757,-152.09952,-44.481636,-0.24226284,0.2600576,0.0017089844,13.577415,-11.753477,-0.11674694,-0.13375174,-0.71592855,1.0924311,0.006829113,1.3267585,2.4943488,-1.3867449,-0.60474604,0.47850358,13.965662,49.05943,0.33797112,0.39193904,0.13945976,0.106052384,inf,inf,inf,inf,1,1,1,1,5,3,5,4,6,1,1,1,0,0
301251614,301251054,19482731,36.660603099999996,126.342033,342.9291,-153.17886,-44.4958,-0.24226284,0.2600576,0.0017089844,13.749339,-11.520161,-0.14893161,-0.1660551,-0.71592855,1.0924311,0.006829113,2.6477222,3.3433676,0.13362752,-0.60438704,0.47850358,13.965662,49.073593,0.34563065,0.3931153,0.14361382,0.10725731,inf,inf,inf,inf,1,1,1,1,5,3,5,4,6,1,1,1,0,0
301361439,301361063,19482731,36.660603099999996,126.342033,344.44962,-154.42618,-44.516903,-0.24226284,0.2600576,0.0017089844,13.995013,-11.143835,-0.22022608,-0.23479453,-0.71592855,1.0924311,0.006829113,3.5920746,4.939781,0.121054016,-0.59467787,0.47850358,13.965662,49.094696,0.33786884,0.3912115,0.1400531,0.10590005,inf,inf,inf,inf,1,1,1,1,5,3,5,4,6,1,1,1,0,0
301451596,301451071,19482731,36.660603099999996,126.342033,345.7207,-155.4156,-44.532482,-0.24226284,0.2600576,0.0017089844,14.229388,-10.7410755,-0.31088457,-0.31625298,-0.71592855,1.0924311,0.006829113,1.464271,3.3275533,-1.6609577,-0.57674,0.47850358,13.965662,49.110275,0.3455475,0.39237404,0.14483427,0.10706791,inf,inf,inf,inf,1,1,1,1,5,3,5,4,6,1,1,1,0,0
301561505,301561081,19482731,36.660603099999996,126.342033,347.289,-156.58308,-44.547657,-0.24226284,0.2600576,0.0017089844,14.5557165,-10.179027,-0.3073225,-0.29302466,-0.71592855,1.0924311,0.006829113,1.9914312,4.042625,-0.5348312,-0.5398565,0.47850358,13.965662,49.12545,0.33777285,0.39047417,0.14183195,0.105675414,inf,inf,inf,inf,1,1,1,1,5,3,5,4,6,1,1,1,0,0
301661646,301661090,19482731,36.660603099999996,126.342033,348.7518,-157.58382,-44.57173,-0.24226284,0.2600576,0.0017089844,14.932385,-9.501698,-0.3243016,-0.30508488,-0.71592855,1.0924311,0.006829113,3.429116,6.469479,-1.143802,-0.4893529,0.47850358,13.965662,49.149525,0.3295695,0.39040425,0.13808733,0.104330815,inf,inf,inf,inf,1,1,1,1,5,3,5,4,6,1,1,1,0,0
301761468,301761099,19482731,36.660603099999996,126.342033,350.25314,-158.5222,-44.608524,-0.24226284,0.2600576,0.0017089844,15.408562,-8.568072,-0.44556028,-0.4277888,-0.71592855,1.0924311,0.006829113,4.0649986,9.8367195,-2.510583,-0.42136353,0.47850358,13.965662,49.186317,0.33763534,0.39217636,0.14482558,0.10568148,inf,inf,inf,inf,1,1,1,1,5,3,5,4,6,1,1,1,0,0
301861897,301861108,19482731,36.660603099999996,126.342033,351.80392,-159.35387,-44.660732,-0.24226284,0.2600576,0.0017089844,15.911648,-7.436382,-0.61026454,-0.5946814,-0.71592855,1.0924311,0.006829113,4.8780036,13.357985,-2.2618258,-0.33695546,0.47850358,13.965662,49.238525,0.3294277,0.389683,0.14313586,0.10424321,inf,inf,inf,inf,1,1,1,1,5,3,5,4,6,1,1,1,0,0
301951519,301951115,19482731,36.660603099999996,126.342033,353.2324,-160.03432,-44.715862,-0.24226284,0.2600576,0.0017089844,16.314209,-6.3186665,-0.7831527,-0.761264,-0.71592855,1.0924311,0.006829113,5.694896,13.552717,-0.4207872,-0.25368264,0.47850358,13.965662,49.293655,0.3366912,0.3907553,0.15254772,0.10574071,inf,inf,inf,inf,1,1,1,1,5,3,5,4,6,1,1,1,0,0
302061701,302061125,19482731,36.660603099999996,126.342033,355.0595,-160.72179,-44.816803,-0.24226284,0.2600576,0.0017089844,16.700787,-4.8347707,-0.9669048,-0.9494013,-0.71592855,1.0924311,0.006829113,3.967801,14.073476,0.28265712,-0.14789382,0.47850358,13.965662,49.394596,0.32927793,0.38893643,0.15324666,0.10496722,inf,inf,inf,inf,1,1,1,1,5,3,5,4,6,1,1,1,0,0
302151498,302151132,19482731,36.660603099999996,126.342033,356.5592,-161.18962,-44.9039,-0.24226284,0.2600576,0.0017089844,16.919163,-3.58192,-1.1288418,-1.1061268,-0.71592855,1.0924311,0.006829113,1.5489271,13.47172,-3.14483,-0.06436757,0.47850358,13.965662,49.481693,0.3366042,0.39242813,0.16467735,0.107171685,inf,inf,inf,inf,1,1,1,1,5,3,5,4,6,1,1,1,0,0
302261601,302261142,19482731,36.660603099999996,126.342033,358.42526,-161.58983,-45.034676,-0.24226284,0.2600576,0.0017089844,17.07931,-1.9860016,-1.2840763,-1.2619673,-0.71592855,1.0924311,0.006829113,1.5075297,16.041405,-0.29402825,0.032929983,0.47850358,13.965662,49.61247,0.32921433,0.38816828,0.1637059,0.10647668,inf,inf,inf,inf,1,1,1,1,5,3,5,4,6,1,1,1,0,0
302361541,302361151,19482731,36.660603099999996,126.342033,360.15576,-161.81856,-45.17751,-0.24226284,0.2600576,0.0017089844,17.094706,-0.34245062,-1.5819582,-1.5615827,-0.71592855,1.0924311,0.006829113,-0.85682523,17.562418,-2.9393451,0.11367336,0.47850358,13.965662,49.755302,0.33750212,0.39231464,0.17740515,0.10942988,inf,inf,inf,inf,1,1,1,1,5,3,5,4,6,1,1,1,0,0
302461751,302461159,19482731,36.660603099999996,126.342033,361.87762,-161.85533,-45.340702,-0.24226284,0.2600576,0.0017089844,16.97399,1.2684261,-1.8178524,-1.7919776,-0.71592855,1.0924311,0.006829113,-1.0127956,15.303992,-0.5734082,0.18415947,0.47850358,13.965662,49.918495,0.34667906,0.39411628,0.19342099,0.11242831,inf,inf,inf,inf,1,1,1,1,5,3,5,4,6,1,1,1,0,0
302561554,302561168,19482731,36.660603099999996,126.342033,363.60742,-161.79965,-45.52751,-0.24226284,0.2600576,0.0017089844,16.802309,2.5383928,-1.9268099,-1.9010429,-0.71592855,1.0924311,0.006829113,-2.7643344,12.123075,-0.57259077,0.23954305,0.47850358,13.965662,50.105305,0.33737582,0.39151073,0.18673997,0.11151989,inf,inf,inf,inf,1,1,1,1,5,3,5,4,6,1,1,1,0,0
302651618,302651176,19482731,36.660603099999996,126.342033,365.1509,-161.6318,-45.699326,-0.24226284,0.2600576,0.0017089844,16.634222,3.4065144,-1.9058502,-1.8797793,-0.71592855,1.0924311,0.006829113,-3.255997,9.850221,-0.33139303,0.27814046,0.47850358,13.965662,50.27712,0.34574425,0.39257622,0.19819611,0.11379435,inf,inf,inf,inf,1,1,1,1,5,3,5,4,6,1,1,1,0,0
302761742,302761186,19482731,36.660603099999996,126.342033,367.08533,-161.33754,-45.911263,-0.24226284,0.2600576,0.0017089844,16.467802,4.23833,-1.7899008,-1.7694381,-0.71592855,1.0924311,0.006829113,-2.9344137,8.3385315,1.1019844,0.32002953,0.47850358,13.965662,50.489056,0.3374577,0.39067614,0.18581979,0.112114124,inf,inf,inf,inf,1,1,1,1,5,3,5,4,6,1,1,1,0,0
302851611,302851193,19482731,36.660603099999996,126.342033,368.6153,-161.00932,-46.072693,-0.24226284,0.2600576,0.0017089844,16.306973,4.835074,-1.6465428,-1.6316032,-0.71592855,1.0924311,0.006829113,-2.2719507,6.612629,1.9266762,0.35397026,0.47850358,13.965662,50.650486,0.3458525,0.39419192,0.19288203,0.113914564,inf,inf,inf,inf,1,1,1,1,5,3,5,4,6,1,1,1,0,0
302961638,302961203,19482731,36.660603099999996,126.342033,370.47656,-160.53539,-46.25484,-0.24226284,0.2600576,0.0017089844,16.14611,5.439906,-1.3815719,-1.381107,-0.71592855,1.0924311,0.006829113,-2.5819776,4.2764,1.8795323,0.39169616,0.47850358,13.965662,50.832634,0.33750018,0.3922817,0.17934059,0.11166306,inf,inf,inf,inf,1,1,1,1,5,3,5,4,6,1,1,1,0,0
303061821,303061212,19482731,36.660603099999996,126.342033,372.14224,-160.02652,-46.38226,-0.24226284,0.2600576,0.0017089844,16.002342,5.92119,-1.025354,-1.0288435,-0.71592855,1.0924311,0.006829113,-1.8557078,5.7426295,5.4188204,0.42249793,0.47850358,13.965662,50.960052,0.34678397,0.39396983,0.18503726,0.11311395,inf,inf,inf,inf,1,1,1,1,5,3,5,4,6,1,1,1,0,0
303151583,303151220,19482731,36.660603099999996,126.342033,373.6401,-159.51253,-46.493362,-0.24226284,0.2600576,0.0017089844,15.87522,6.330965,-0.69890344,-0.7326794,-0.71592855,1.0924311,0.006829113,-1.6082885,3.8439615,2.7746165,0.4492632,0.47850358,13.965662,51.071156,0.3366766,0.39075923,0.17107275,0.11023471,inf,inf,inf,inf,1,1,1,1,5,3,5,4,6,1,1,1,0,0
303261708,303261229,19482731,36.660603099999996,126.342033,375.42255,-158.81543,-46.581017,-0.24226284,0.2600576,0.0017089844,15.60198,6.993958,-0.5096506,-0.55954224,-0.71592855,1.0924311,0.006829113,-4.978112,8.22302,-0.0670407,0.48948956,0.47850358,13.965662,51.15881,0.34670314,0.39303017,0.17626113,0.11172404,inf,inf,inf,inf,1,1,1,1,5,3,5,4,6,1,1,1,0,0
303351608,303351237,19482731,36.660603099999996,126.342033,376.86255,-158.17091,-46.646004,-0.24226284,0.2600576,0.0017089844,15.319345,7.6265163,-0.4994618,-0.5630692,-0.71592855,1.0924311,0.006829113,-3.8368678,8.271878,0.9237272,0.5212154,0.47850358,13.965662,51.223797,0.33673853,0.39230162,0.16525747,0.10948795,inf,inf,inf,inf,1,1,1,1,5,3,5,4,6,1,1,1,0,0
303461775,303461246,19482731,36.660603099999996,126.342033,378.5672,-157.29788,-46.711838,-0.24226284,0.2600576,0.0017089844,14.925222,8.380305,-0.53780645,-0.6001647,-0.71592855,1.0924311,0.006829113,-3.6114948,5.3248453,-0.8586044,0.5496246,0.47850358,13.965662,51.28963,0.34667414,0.39206144,0.17228338,0.111363485,inf,inf,inf,inf,1,1,1,1,5,3,5,4,6,1,1,1,0,0
303551628,303551254,19482731,36.660603099999996,126.342033,379.9416,-156.53265,-46.76408,-0.24226284,0.2600576,0.0017089844,14.682598,8.857953,-0.45137426,-0.5135028,-0.71592855,1.0924311,0.006829113,-3.6544087,5.145621,0.053040422,0.5682586,0.47850358,13.965662,51.341873,0.33667734,0.39136216,0.1627525,0.1093318,inf,inf,inf,inf,1,1,1,1,5,3,5,4,6,1,1,1,0,0
303662085,303661264,19482731,36.660603099999996,126.342033,381.61307,-155.52226,-46.80766,-0.24226284,0.2600576,0.0017089844,14.458157,9.286007,-0.14911242,-0.21007179,-0.71592855,1.0924311,0.006829113,-1.5799593,3.671,4.019605,0.5897155,0.47850358,13.965662,51.385452,0.32931167,0.38959482,0.15466309,0.107304774,inf,inf,inf,inf,1,1,1,1,5,3,5,4,6,1,1,1,0,0
303761734,303761272,19482731,36.660603099999996,126.342033,383.09607,-154.56206,-46.811867,-0.24226284,0.2600576,0.0017089844,14.3214445,9.563486,0.22328448,0.16273165,-0.71592855,1.0924311,0.006829113,-1.3691065,3.157546,4.9764404,0.6062082,0.47850358,13.965662,51.38966,0.33763415,0.39105618,0.158897,0.10867254,inf,inf,inf,inf,1,1,1,1,5,3,5,4,6,1,1,1,0,0
303851689,303851280,19482731,36.660603099999996,126.342033,384.411,-153.67659,-46.777004,-0.24226284,0.2600576,0.0017089844,14.200244,9.77095,0.51534146,0.46170506,-0.71592855,1.0924311,0.006829113,-2.5674274,3.289584,1.5368192,0.6239515,0.47850358,13.965662,51.354797,0.34563947,0.39191884,0.16212708,0.10965687,inf,inf,inf,inf,1,1,1,1,5,3,5,4,6,1,1,1,0,0
303961797,303961290,19482731,36.660603099999996,126.342033,385.99722,-152.54933,-46.72235,-0.24226284,0.2600576,0.0017089844,14.026104,10.083611,0.69371986,0.63255125,-0.71592855,1.0924311,0.006829113,-0.7104152,2.0086942,0.59049916,0.65218014,0.47850358,13.965662,51.300144,0.33771104,0.39007413,0.15329383,0.10718505,inf,inf,inf,inf,1,1,1,1,5,3,5,4,6,1,1,1,0,0
304051743,304051298,19482731,36.660603099999996,126.342033,387.2722,-151.59877,-46.66984,-0.24226284,0.2600576,0.0017089844,13.801628,10.444027,0.5851682,0.5231216,-0.71592855,1.0924311,0.006829113,-4.1564727,5.695345,-2.503697,0.67904586,0.47850358,13.965662,51.247635,0.34560347,0.39089975,0.15687113,0.10820521,inf,inf,inf,inf,1,1,1,1,5,3,5,4,6,1,1,1,0,0
304161767,304161307,19482731,36.660603099999996,126.342033,388.79965,-150.3712,-46.603912,-0.24226284,0.2600576,0.0017089844,13.498801,10.8935585,0.3870444,0.34521094,-0.71592855,1.0924311,0.006829113,-2.9604461,3.0777118,-3.198063,0.71103954,0.47850358,13.965662,51.181705,0.3377893,0.38909063,0.15082927,0.106336065,inf,inf,inf,inf,1,1,1,1,5,3,5,4,6,1,1,1,0,0
304251946,304251314,19482731,36.660603099999996,126.342033,390.02213,-149.33926,-46.554157,-0.24226284,0.2600576,0.0017089844,13.274888,11.193429,0.34341618,0.32081914,-0.71592855,1.0924311,0.006829113,-1.7180345,2.1182482,0.33499643,0.7339989,0.47850358,13.965662,51.13195,0.34566128,0.39233154,0.15558825,0.10788907,inf,inf,inf,inf,1,1,1,1,5,3,5,4,6,1,1,1,0,0
304361704,304361326,19482731,36.660603099999996,126.342033,391.52264,-148.0178,-46.469067,-0.24226284,0.2600576,0.0017089844,13.020666,11.522138,0.32113355,0.3504766,-0.71592855,1.0924311,0.006829113,-2.263285,2.679999,1.5070053,0.7560997,0.47850358,13.965662,51.04686,0.3377732,0.39049467,0.14954087,0.10596857,inf,inf,inf,inf,1,1,1,1,5,3,5,4,6,1,1,1,0,0
304461750,304461333,19482731,36.660603099999996,126.342033,392.8312,-146.8221,-46.393143,-0.24226284,0.2600576,0.0017089844,12.845906,11.740205,0.4161386,0.47867864,-0.71592855,1.0924311,0.006829113,-2.4257722,2.0664377,-1.4884369,0.76725715,0.47850358,13.965662,50.970936,0.34653017,0.39190608,0.1542679,0.107352294,inf,inf,inf,inf,1,1,1,1,5,3,5,4,6,1,1,1,0,0
304551932,304551340,19482731,36.660603099999996,126.342033,393.97156,-145.74231,-46.31213,-0.24226284,0.2600576,0.0017089844,12.7147045,11.912241,0.52398795,0.61856014,-0.71592855,1.0924311,0.006829113,-2.2749643,2.5346286,2.648382,0.7740431,0.47850358,13.965662,50.889923,0.33687747,0.38881207,0.14697114,0.10494241,inf,inf,inf,inf,1,1,1,1,5,3,5,4,6,1,1,1,0,0
304661800,304661350,19482731,36.660603099999996,126.342033,395.3963,-144.36229,-46.20806,-0.24226284,0.2600576,0.0017089844,12.558733,12.082818,0.6690651,0.7863053,-0.71592855,1.0924311,0.006829113,-2.4401946,2.3179822,-0.38647553,0.77917266,0.47850358,13.965662,50.785854,0.34638903,0.39078316,0.15144762,0.10630796,inf,inf,inf,inf,1,1,1,1,5,3,5,4,6,1,1,1,0,0
304751728,304751360,19482731,36.660603099999996,126.342033,396.53076,-143.23203,-46.117264,-0.24226284,0.2600576,0.0017089844,12.460731,12.215869,0.6156623,0.75184524,-0.71592855,1.0924311,0.006829113,0.23783848,0.052919935,-0.80402833,0.78047365,0.47850358,13.965662,50.695057,0.3368063,0.39014664,0.14458406,0.10421706,inf,inf,inf,inf,1,1,1,1,5,3,5,4,6,1,1,1,0,0
304861918,304861367,19482731,36.660603099999996,126.342033,397.89288,-141.84798,-46.00941,-0.24226284,0.2600576,0.0017089844,12.334576,12.36921,0.47760233,0.6414333,-0.71592855,1.0924311,0.006829113,-1.8734288,2.7269642,-0.40100202,0.78287107,0.47850358,13.965662,50.587204,0.32961765,0.38841498,0.13954647,0.10233502,inf,inf,inf,inf,1,1,1,1,5,3,5,4,6,1,1,1,0,0
304951773,304951375,19482731,36.660603099999996,126.342033,398.99518,-140.68753,-45.940495,-0.24226284,0.2600576,0.0017089844,12.227637,12.498733,0.3417059,0.5217214,-0.71592855,1.0924311,0.006829113,-1.7991763,1.4724499,-2.622475,0.7857551,0.47850358,13.965662,50.518288,0.33683982,0.38905665,0.14377294,0.103382535,inf,inf,inf,inf,1,1,1,1,5,3,5,4,6,1,1,1,0,0
305061868,305061384,19482731,36.660603099999996,126.342033,400.32242,-139.27441,-45.862343,-0.24226284,0.2600576,0.0017089844,12.139754,12.603467,0.3679736,0.5645678,-0.71592855,1.0924311,0.006829113,0.15262824,-0.8887759,0.46043345,0.7853343,0.47850358,13.965662,50.440136,0.34624356,0.39098045,0.14920422,0.104770705,inf,inf,inf,inf,1,1,1,1,5,3,5,4,6,1,1,1,0,0
305161826,305161393,19482731,36.660603099999996,126.342033,401.52478,-137.96948,-45.781788,-0.24226284,0.2600576,0.0017089844,12.053534,12.6503935,0.4462522,0.66027784,-0.71592855,1.0924311,0.006829113,-0.034284044,-1.2674303,1.0935475,0.7835734,0.47850358,13.965662,50.35958,0.33762842,0.3885417,0.14358643,0.10279644,inf,inf,inf,inf,1,1,1,1,5,3,5,4,6,1,1,1,0,0
