timestamp,timestamp_sample,windspeed_north,windspeed_east,variance_north,variance_east,tas_innov,tas_innov_var,beta_innov,beta_innov_var
352785589,352685124,1.7064478,2.8622327,0.07939253,0.037093733,6.390398,2.1460207,-0.13251685,0.090252236
353785783,353685198,1.6764511,2.865705,0.07885591,0.037393626,6.390398,2.1460207,-0.1078045,0.09025261
354785657,354685271,1.6542943,2.8709087,0.07832048,0.037642032,6.390398,2.1460207,-0.066176504,0.09025284
355785798,355685344,1.6428047,2.8745403,0.07795889,0.037850406,6.390398,2.1460207,-0.042023793,0.090247504
356785809,356685417,1.6357075,2.8778954,0.07762422,0.037999608,6.390398,2.1460207,-0.024672387,0.09022322
357785905,357685490,1.6330063,2.8798003,0.07745789,0.038101032,6.390398,2.1460207,0.013037558,0.0902094
358786091,358685562,1.6413125,2.8732722,0.077472284,0.038188834,6.390398,2.1460207,0.0941679,0.090206556
359786064,359685635,1.65542,2.8548841,0.07757377,0.03822914,6.390398,2.1460207,0.20966946,0.09020189
360786090,360685707,1.6627346,2.8291788,0.07777131,0.03825993,6.390398,2.1460207,0.25225827,0.0902106
361786236,361685779,1.6560286,2.8047907,0.07797221,0.03832926,6.390398,2.1460207,0.2646653,0.09021265
362786278,362685851,1.6220777,2.776636,0.07800079,0.038410492,6.390398,2.1460207,0.26016235,0.09025076
363786444,363685922,1.5740443,2.7606938,0.07774211,0.038557727,6.390398,2.1460207,0.3073562,0.09029696
364786411,364685993,1.5059361,2.7558196,0.077092156,0.03874387,6.390398,2.1460207,0.27444354,0.090361916
365786454,365686064,1.4318154,2.7630892,0.075824276,0.038905967,6.390398,2.1460207,0.17809786,0.090392575
366786540,366686135,1.3791394,2.7761538,0.074411236,0.03896643,6.390398,2.1460207,0.13801414,0.09042501
367786595,367686206,1.3492638,2.7881758,0.07329201,0.03890921,6.390398,2.1460207,0.08114045,0.09041282
368786666,368686276,1.3390319,2.793283,0.07233978,0.03869508,6.390398,2.1460207,-0.008708233,0.090361014
369786729,369686346,1.3338122,2.7974944,0.07186078,0.03839991,6.390398,2.1460207,0.028653825,0.09031664
370786904,370686416,1.338412,2.791776,0.071776144,0.038143296,6.390398,2.1460207,-0.055315576,0.09028342
371787042,371686486,1.340922,2.7834492,0.071859576,0.037889466,6.390398,2.1460207,-0.060089886,0.09023981
372787002,372686556,1.3381959,2.7697642,0.07196589,0.037725523,6.390398,2.1460207,-0.11723695,0.09023385
373787025,373686625,1.325702,2.7548954,0.071967,0.03768887,6.390398,2.1460207,-0.13888122,0.09023316
374787078,374686694,1.3034394,2.7420743,0.07176163,0.037713487,6.390398,2.1460207,-0.1494009,0.090239786
375787165,375686763,1.2737086,2.7345977,0.07135419,0.03780201,6.390398,2.1460207,-0.14435387,0.09025168
376787359,376686832,1.2479712,2.7322917,0.07090457,0.037917655,6.390398,2.1460207,-0.12727377,0.09025615
377787283,377686900,1.2186135,2.7339013,0.07027779,0.038032737,6.390398,2.1460207,-0.1165986,0.09026247
378787383,378686969,1.1964401,2.737671,0.06965714,0.038126606,6.390398,2.1460207,-0.07671121,0.090264015
379787505,379687037,1.1821778,2.7418132,0.06918336,0.03819558,6.390398,2.1460207,-0.066753805,0.090259925
380787638,380687105,1.1734378,2.7452576,0.06871629,0.0382225,6.390398,2.1460207,-0.017441241,0.09024643
381787596,381687173,1.1750507,2.7452798,0.06840466,0.03821392,6.390398,2.1460207,-0.0084665,0.09023475
