timestamp,timestamp_sample,device_id,pressure,temperature,error_count
394178978,394178392,4028193,100717.0,41.46,259
395174522,395173936,4028193,100689.0,41.48,259
396169907,396169321,4028193,100674.0,41.48,259
397186349,397185763,4028193,100647.0,41.469997,260
398175619,398175031,4028193,100593.0,41.48,262
399171591,399171005,4028193,100583.0,41.48,262
400187687,400187101,4028193,100602.0,41.469997,264
401183629,401182974,4028193,100599.0,41.48,265
402167972,402167386,4028193,100585.0,41.48,266
403184564,403183978,4028193,100597.0,41.489998,266
404180457,404179871,4028193,100579.0,41.5,266
405186083,405185497,4028193,100576.0,41.5,266
406180919,406180333,4028193,100579.0,41.5,266
407186124,407185538,4028193,100580.0,41.51,266
408180997,408180411,4028193,100580.0,41.52,266
409176938,409176352,4028193,100582.0,41.53,266
410171518,410170932,4028193,100585.0,41.53,266
411188438,411187833,4028193,100580.0,41.53,266
412184113,412183527,4028193,100577.0,41.54,266
413178780,413178194,4028193,100593.0,41.55,266
414185355,414184765,4028193,100567.0,41.559998,266
415191608,415191022,4028193,100589.0,41.559998,266
416186141,416185555,4028193,100558.0,41.57,267
417180998,417180411,4028193,100567.0,41.579998,267
418187326,418186740,4028193,100587.0,41.579998,267
419183324,419182738,4028193,100572.0,41.59,267
420179313,420178727,4028193,100600.0,41.6,267
421184924,421184338,4028193,100582.0,41.61,267
422180009,422179423,4028193,100604.0,41.62,267
423179460,423178874,4028193,100631.0,41.64,269
424186917,424186331,4028193,100622.0,41.64,269
425181947,425181361,4028193,100642.0,41.66,269
426189314,426188728,4028193,100648.0,41.66,269
427184627,427184041,4028193,100673.0,41.68,269
428180514,428179928,4028193,100673.0,41.69,269
429175327,429174741,4028193,100683.0,41.7,269
430171306,430170720,4028193,100684.0,41.71,269
431187672,431187086,4028193,100699.0,41.719997,269
432182547,432181960,4028193,100719.0,41.739998,269
433176794,433176208,4028193,100732.0,41.75,271
434173529,434172893,4028193,100747.0,41.76,271
435189440,435188818,4028193,100740.0,41.78,272
436184055,436183469,4028193,100753.0,41.79,272
437180372,437179786,4028193,100790.0,41.809998,272
438174711,438174125,4028193,100787.0,41.809998,273
439170558,439169972,4028193,100805.0,41.829998,273
440187751,440187163,4028193,100816.0,41.85,273
441182920,441182333,4028193,100823.0,41.86,273
442189989,442189403,4028193,100846.0,41.87,273
443185117,443184531,4028193,100849.0,41.89,273
444184745,444184159,4028193,100846.0,41.899998,275
445180272,445179686,4028193,100868.0,41.91,275
446186145,446185559,4028193,100875.0,41.93,277
447180909,447180322,4028193,100891.0,41.94,277
448175545,448174959,4028193,100908.0,41.96,277
449171426,449170840,4028193,100914.0,41.98,277
450186537,450185951,4028193,100935.0,41.989998,281
451188315,451187729,4028193,100947.0,42.0,283
452183585,452182999,4028193,100953.0,42.02,283
453190155,453189565,4028193,100969.0,42.04,283
454186068,454185456,4028193,100971.0,42.059998,283
455181734,455181148,4028193,100980.0,42.07,283
456187358,456186772,4028193,100987.0,42.079998,283
457183141,457182554,4028193,101011.0,42.1,283
458178117,458177502,4028193,101023.0,42.12,284
459183803,459183217,4028193,101050.0,42.129997,284
460179120,460178533,4028193,101036.0,42.149998,284
461185282,461184696,4028193,101062.0,42.16,285
462180702,462180116,4028193,101059.0,42.18,285
463187179,463186593,4028193,101082.0,42.2,285
464182287,464181701,4028193,101083.0,42.219997,285
465177083,465176497,4028193,101101.0,42.23,285
466183061,466182473,4028193,101123.0,42.25,286
467178861,467178274,4028193,101129.0,42.27,286
468174084,468173473,4028193,101134.0,42.28,286
469185287,469184701,4028193,101152.0,42.3,288
470180995,470180409,4028193,101167.0,42.32,288
471176093,471175507,4028193,101168.0,42.34,288
472171925,472171339,4028193,101180.0,42.35,288
473188195,473187609,4028193,101199.0,42.379997,288
474183007,474182420,4028193,101198.0,42.39,288
475181425,475180839,4028193,101197.0,42.41,291
476179027,476178441,4028193,101196.0,42.43,291
477185623,477185036,4028193,101194.0,42.44,291
478180913,478180326,4028193,101191.0,42.46,291
479186909,479186323,4028193,101192.0,42.48,291
480181718,480181131,4028193,101196.0,42.5,291
481177316,481176730,4028193,101196.0,42.51,291
482188528,482187942,4028193,101190.0,42.53,293
483183269,483182683,4028193,101196.0,42.559998,293
484178755,484178156,4028193,101196.0,42.57,293
485174195,485173609,4028193,101192.0,42.59,293
486184080,486183494,4028193,101192.0,42.61,295
487181574,487180988,4028193,101178.0,42.62,295
488186877,488186291,4028193,101183.0,42.64,296
489174651,489174025,4028193,101184.0,42.66,299
490171743,490171157,4028193,101183.0,42.68,299
491188158,491187571,4028193,101188.0,42.7,299
492183356,492182755,4028193,101184.0,42.719997,300
493187601,493187003,4028193,101182.0,42.739998,304
494180922,494180336,4028193,101183.0,42.75,310
495169981,495169395,4028193,101182.0,42.78,313
496180762,496180176,4028193,101181.0,42.8,315
497179467,497178881,4028193,101180.0,42.82,317
498185669,498185075,4028193,101184.0,42.84,317
499185801,499185215,4028193,101187.0,42.85,321
500181261,500180674,4028193,101198.0,42.87,321
501186805,501186219,4028193,101193.0,42.89,321
502186941,502186354,4028193,101194.0,42.91,323
503182324,503181738,4028193,101196.0,42.93,323
504188366,504187779,4028193,101194.0,42.94,324
505177460,505176859,4028193,101189.0,42.96,326
506183503,506182916,4028193,101193.0,42.98,327
507179065,507178479,4028193,101190.0,43.01,327
508185061,508184475,4028193,101195.0,43.03,327
509185293,509184706,4028193,101192.0,43.04,333
510171060,510170474,4028193,101196.0,43.059998,352
