timestamp,time_estimate,safe_time_estimate,valid
486726685,2.5772936,102.83502,1
487746785,3.0370278,103.34073,1
488756738,5.546807,106.10149,1
489766783,8.098199,108.90802,1
490787018,10.471042,111.51814,1
491797041,12.584573,113.84303,1
492807332,14.305714,115.73628,1
493824451,82.142914,190.35721,1
494837494,82.32334,190.55568,1
495847656,82.45276,190.69804,1
496858031,82.47852,190.72638,1
497867937,82.52373,190.77611,1
498868039,0.7905638,100.86962,1
499888545,1.1620499,101.27825,1
500888595,1.2878062,101.41659,1
501908405,1.6267477,101.78942,1
502929839,1.7930913,101.9724,1
503928576,1.9166664,102.10833,1
504939080,2.088657,102.29752,1
505948873,2.0519695,102.257164,1
506959042,2.1839728,102.40237,1
507979169,2.2101479,102.43116,1
508989037,2.361741,102.597916,1
510025753,2.5133934,102.76473,1
