timestamp,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode,soft_stop
307753645,1,1,1,0,0,0,0,1
308260237,1,1,1,0,0,0,0,1
308765677,1,1,1,0,0,0,0,1
309271645,1,1,1,0,0,0,0,1
309778690,1,1,1,0,0,0,0,1
310285019,1,1,1,0,0,0,0,1
310790658,1,1,1,0,0,0,0,1
311296679,1,1,1,0,0,0,0,1
311802940,1,1,1,0,0,0,0,1
312308645,1,1,1,0,0,0,0,1
312814719,1,1,1,0,0,0,0,1
313320645,1,1,1,0,0,0,0,1
313826646,1,1,1,0,0,0,0,1
314332702,1,1,1,0,0,0,0,1
314838690,1,1,1,0,0,0,0,1
315344646,1,1,1,0,0,0,0,1
315850645,1,1,1,0,0,0,0,1
316356645,1,1,1,0,0,0,0,1
316863672,1,1,1,0,0,0,0,1
317369645,1,1,1,0,0,0,0,1
317875646,1,1,1,0,0,0,0,1
318381664,1,1,1,0,0,0,0,1
318887947,1,1,1,0,0,0,0,1
319393645,1,1,1,0,0,0,0,1
319899646,1,1,1,0,0,0,0,1
320405644,1,1,1,0,0,0,0,1
320911645,1,1,1,0,0,0,0,1
321417645,1,1,1,0,0,0,0,1
321923644,1,1,1,0,0,0,0,1
322429645,1,1,1,0,0,0,0,1
322935676,1,1,1,0,0,0,0,1
323441666,1,1,1,0,0,0,0,1
323947646,1,1,1,0,0,0,0,1
324453645,1,1,1,0,0,0,0,1
324959645,1,1,1,0,0,0,0,1
325465726,1,1,1,0,0,0,0,1
325971644,1,1,1,0,0,0,0,1
326477666,1,1,1,0,0,0,0,1
326983700,1,1,1,0,0,0,0,1
327489647,1,1,1,0,0,0,0,1
327996036,1,1,1,0,0,0,0,1
328501658,1,1,1,0,0,0,0,1
329007658,1,1,1,0,0,0,0,1
329513893,1,1,1,0,0,0,0,1
330019646,1,1,1,0,0,0,0,1
330525645,1,1,1,0,0,0,0,1
331031644,1,1,1,0,0,0,0,1
331538938,1,1,1,0,0,0,0,1
332044664,1,1,1,0,0,0,0,1
332550645,1,1,1,0,0,0,0,1
333056645,1,1,1,0,0,0,0,1
333562660,1,1,1,0,0,0,0,1
334068645,1,1,1,0,0,0,0,1
334574643,1,1,1,0,0,0,0,1
335081645,1,1,1,0,0,0,0,1
335587645,1,1,1,0,0,0,0,1
336093644,1,1,1,0,0,0,0,1
336599907,1,1,1,0,0,0,0,1
337105645,1,1,1,0,0,0,0,1
337611855,1,1,1,0,0,0,0,1
338117645,1,1,1,0,0,0,0,1
338623648,1,1,1,0,0,0,0,1
339129742,1,1,1,0,0,0,0,1
339635647,1,1,1,0,0,0,0,1
340141645,1,1,1,0,0,0,0,1
340647678,1,1,1,0,0,0,0,1
341153646,1,1,1,0,0,0,0,1
341659878,1,1,1,0,0,0,0,1
342166645,1,1,1,0,0,0,0,1
342672644,1,1,1,0,0,0,0,1
343178646,1,1,1,0,0,0,0,1
343684970,1,1,1,0,0,0,0,1
344191646,1,1,1,0,0,0,0,1
344697645,1,1,1,0,0,0,0,1
345205136,1,1,1,0,0,0,0,1
345710646,1,1,1,0,0,0,0,1
346217664,1,1,1,0,0,0,0,1
346723655,1,1,1,0,0,0,0,1
347229644,1,1,1,0,0,0,0,1
347735645,1,1,1,0,0,0,0,1
348241669,1,1,1,0,0,0,0,1
348747645,1,1,1,0,0,0,0,1
349253646,1,1,1,0,0,0,0,1
349759645,1,1,1,0,0,0,0,1
350265785,1,1,1,0,0,0,0,1
350771646,1,1,1,0,0,0,0,1
351277989,1,1,1,0,0,0,0,1
351783645,1,1,1,0,0,0,0,1
352289644,1,1,1,0,0,0,0,1
352795791,1,1,1,0,0,0,0,1
353301645,1,1,1,0,0,0,0,1
353807645,1,1,1,0,0,0,0,1
354313646,1,1,1,0,0,0,0,1
354819643,1,1,1,0,0,0,0,1
355326017,1,1,1,0,0,0,0,1
355831646,1,1,1,0,0,0,0,1
356337645,1,1,1,0,0,0,0,1
356843733,1,1,1,0,0,0,0,1
357349645,1,1,1,0,0,0,0,1
357856948,1,1,1,0,0,0,0,1
358362646,1,1,1,0,0,0,0,1
358868680,1,1,1,0,0,0,0,1
359374660,1,1,1,0,0,0,0,1
359880644,1,1,1,0,0,0,0,1
360386645,1,1,1,0,0,0,0,1
360892667,1,1,1,0,0,0,0,1
361398676,1,1,1,0,0,0,0,1
361904645,1,1,1,0,0,0,0,1
362410665,1,1,1,0,0,0,0,1
362916644,1,1,1,0,0,0,0,1
363422645,1,1,1,0,0,0,0,1
363929663,1,1,1,0,0,0,0,1
364435645,1,1,1,0,0,0,0,1
364941645,1,1,1,0,0,0,0,1
365447646,1,1,1,0,0,0,0,1
365953745,1,1,1,0,0,0,0,1
366459971,1,1,1,0,0,0,0,1
366965670,1,1,1,0,0,0,0,1
367471644,1,1,1,0,0,0,0,1
367977645,1,1,1,0,0,0,0,1
368483645,1,1,1,0,0,0,0,1
368989644,1,1,1,0,0,0,0,1
369495648,1,1,1,0,0,0,0,1
370001786,1,1,1,0,0,0,0,1
370507680,1,1,1,0,0,0,0,1
371013646,1,1,1,0,0,0,0,1
371519646,1,1,1,0,0,0,0,1
372025646,1,1,1,0,0,0,0,1
372532008,1,1,1,0,0,0,0,1
373037645,1,1,1,0,0,0,0,1
373544646,1,1,1,0,0,0,0,1
374050736,1,1,1,0,0,0,0,1
374556644,1,1,1,0,0,0,0,1
375063666,1,1,1,0,0,0,0,1
375569707,1,1,1,0,0,0,0,1
376075689,1,1,1,0,0,0,0,1
376582645,1,1,1,0,0,0,0,1
377088781,1,1,1,0,0,0,0,1
377594645,1,1,1,0,0,0,0,1
378100645,1,1,1,0,0,0,0,1
378606646,1,1,1,0,0,0,0,1
379112644,1,1,1,0,0,0,0,1
379618647,1,1,1,0,0,0,0,1
380124727,1,1,1,0,0,0,0,1
380630667,1,1,1,0,0,0,0,1
381136645,1,1,1,0,0,0,0,1
381643224,1,1,1,0,0,0,0,1
382148666,1,1,1,0,0,0,0,1
382654647,1,1,1,0,0,0,0,1
383160670,1,1,1,0,0,0,0,1
383424702,1,1,1,0,0,0,0,0
383930758,1,1,1,0,0,0,0,0
384436664,1,1,1,0,0,0,0,0
384943010,1,1,1,0,0,0,0,0
385448679,1,1,1,0,0,0,0,0
385955645,1,1,1,0,0,0,0,0
386463019,1,1,1,0,0,0,0,0
386968646,1,1,1,0,0,0,0,0
387430665,1,1,1,0,0,0,0,0
387938169,1,1,1,0,0,0,0,0
388179665,1,1,1,0,0,0,0,0
388323065,1,1,1,0,0,0,0,0
388344666,1,1,1,0,0,0,0,0
388454714,1,1,1,0,0,0,0,0
388960656,1,1,1,0,0,0,0,0
389466645,1,1,1,0,0,0,0,0
389973644,1,1,1,0,0,0,0,0
390479646,1,1,1,0,0,0,0,0
390985645,1,1,1,0,0,0,0,0
391491645,1,1,1,0,0,0,0,0
391997646,1,1,1,0,0,0,0,0
392503646,1,1,1,0,0,0,0,0
393009644,1,1,1,0,0,0,0,0
393515649,1,1,1,0,0,0,0,0
394021665,1,1,1,0,0,0,0,0
394527658,1,1,1,0,0,0,0,0
395033653,1,1,1,0,0,0,0,0
395540274,1,1,1,0,0,0,0,0
396045663,1,1,1,0,0,0,0,0
396551658,1,1,1,0,0,0,0,0
397057645,1,1,1,0,0,0,0,0
397564875,1,1,1,0,0,0,0,0
398071645,1,1,1,0,0,0,0,0
398577644,1,1,1,0,0,0,0,0
399083922,1,1,1,0,0,0,0,0
399589934,1,1,1,0,0,0,0,0
400095674,1,1,1,0,0,0,0,0
400601646,1,1,1,0,0,0,0,0
401107645,1,1,1,0,0,0,0,0
401614001,1,1,1,0,0,0,0,0
402119645,1,1,1,0,0,0,0,0
402625645,1,1,1,0,0,0,0,0
403131645,1,1,1,0,0,0,0,0
403637694,1,1,1,0,0,0,0,0
404143645,1,1,1,0,0,0,0,0
404649667,1,1,1,0,0,0,0,0
405155649,1,1,1,0,0,0,0,0
405661663,1,1,1,0,0,0,0,0
406167646,1,1,1,0,0,0,0,0
406673643,1,1,1,0,0,0,0,0
407179646,1,1,1,0,0,0,0,0
407685645,1,1,1,0,0,0,0,0
408191678,1,1,1,0,0,0,0,0
408697658,1,1,1,0,0,0,0,0
409203664,1,1,1,0,0,0,0,0
409709715,1,1,1,0,0,0,0,0
410215645,1,1,1,0,0,0,0,0
410722129,1,1,1,0,0,0,0,0
411227660,1,1,1,0,0,0,0,0
411733645,1,1,1,0,0,0,0,0
412239911,1,1,1,0,0,0,0,0
412745648,1,1,1,0,0,0,0,0
413251645,1,1,1,0,0,0,0,0
413757644,1,1,1,0,0,0,0,0
414263644,1,1,1,0,0,0,0,0
414770015,1,1,1,0,0,0,0,0
415275645,1,1,1,0,0,0,0,0
415781664,1,1,1,0,0,0,0,0
416287755,1,1,1,0,0,0,0,0
416795055,1,1,1,0,0,0,0,0
417302645,1,1,1,0,0,0,0,0
417808645,1,1,1,0,0,0,0,0
418314644,1,1,1,0,0,0,0,0
418820646,1,1,1,0,0,0,0,0
419326645,1,1,1,0,0,0,0,0
419832689,1,1,1,0,0,0,0,0
420338645,1,1,1,0,0,0,0,0
420844665,1,1,1,0,0,0,0,0
421350827,1,1,1,0,0,0,0,0
421856645,1,1,1,0,0,0,0,0
422362771,1,1,1,0,0,0,0,0
422868664,1,1,1,0,0,0,0,0
423374645,1,1,1,0,0,0,0,0
423880811,1,1,1,0,0,0,0,0
424386645,1,1,1,0,0,0,0,0
424892644,1,1,1,0,0,0,0,0
425398743,1,1,1,0,0,0,0,0
425904645,1,1,1,0,0,0,0,0
426410806,1,1,1,0,0,0,0,0
426916665,1,1,1,0,0,0,0,0
427422645,1,1,1,0,0,0,0,0
427928968,1,1,1,0,0,0,0,0
428434645,1,1,1,0,0,0,0,0
428941268,1,1,1,0,0,0,0,0
429447646,1,1,1,0,0,0,0,0
429954660,1,1,1,0,0,0,0,0
430461456,1,1,1,0,0,0,0,0
430966646,1,1,1,0,0,0,0,0
431472644,1,1,1,0,0,0,0,0
431978975,1,1,1,0,0,0,0,0
432484657,1,1,1,0,0,0,0,0
432990645,1,1,1,0,0,0,0,0
433496645,1,1,1,0,0,0,0,0
434002645,1,1,1,0,0,0,0,0
434508645,1,1,1,0,0,0,0,0
435014678,1,1,1,0,0,0,0,0
435520644,1,1,1,0,0,0,0,0
436027666,1,1,1,0,0,0,0,0
436533733,1,1,1,0,0,0,0,0
437039644,1,1,1,0,0,0,0,0
437545645,1,1,1,0,0,0,0,0
438051896,1,1,1,0,0,0,0,0
438557645,1,1,1,0,0,0,0,0
439063665,1,1,1,0,0,0,0,0
439569744,1,1,1,0,0,0,0,0
440075645,1,1,1,0,0,0,0,0
440582728,1,1,1,0,0,0,0,0
441088645,1,1,1,0,0,0,0,0
441594687,1,1,1,0,0,0,0,0
442100644,1,1,1,0,0,0,0,0
442607646,1,1,1,0,0,0,0,0
443113645,1,1,1,0,0,0,0,0
443619780,1,1,1,0,0,0,0,0
444126657,1,1,1,0,0,0,0,0
444632728,1,1,1,0,0,0,0,0
445138646,1,1,1,0,0,0,0,0
445644782,1,1,1,0,0,0,0,0
446150649,1,1,1,0,0,0,0,0
446656644,1,1,1,0,0,0,0,0
447162664,1,1,1,0,0,0,0,0
447668645,1,1,1,0,0,0,0,0
448174728,1,1,1,0,0,0,0,0
448680644,1,1,1,0,0,0,0,0
449186645,1,1,1,0,0,0,0,0
449692847,1,1,1,0,0,0,0,0
450198645,1,1,1,0,0,0,0,0
450704664,1,1,1,0,0,0,0,0
451210645,1,1,1,0,0,0,0,0
451716645,1,1,1,0,0,0,0,0
452223411,1,1,1,0,0,0,0,0
452728645,1,1,1,0,0,0,0,0
453234663,1,1,1,0,0,0,0,0
453740645,1,1,1,0,0,0,0,0
454246646,1,1,1,0,0,0,0,0
454752691,1,1,1,0,0,0,0,0
455258645,1,1,1,0,0,0,0,0
455764998,1,1,1,0,0,0,0,0
456270645,1,1,1,0,0,0,0,0
456776666,1,1,1,0,0,0,0,0
457282644,1,1,1,0,0,0,0,0
457788723,1,1,1,0,0,0,0,0
458294645,1,1,1,0,0,0,0,0
458800740,1,1,1,0,0,0,0,0
459306658,1,1,1,0,0,0,0,0
459812645,1,1,1,0,0,0,0,0
460319092,1,1,1,0,0,0,0,0
460824644,1,1,1,0,0,0,0,0
461330645,1,1,1,0,0,0,0,0
461836644,1,1,1,0,0,0,0,0
462342646,1,1,1,0,0,0,0,0
462849170,1,1,1,0,0,0,0,0
463354645,1,1,1,0,0,0,0,0
463860670,1,1,1,0,0,0,0,0
464366644,1,1,1,0,0,0,0,0
464872645,1,1,1,0,0,0,0,0
465378644,1,1,1,0,0,0,0,0
465884645,1,1,1,0,0,0,0,0
466390645,1,1,1,0,0,0,0,0
466896644,1,1,1,0,0,0,0,0
467402645,1,1,1,0,0,0,0,0
467908645,1,1,1,0,0,0,0,0
468414645,1,1,1,0,0,0,0,0
468920644,1,1,1,0,0,0,0,0
469426728,1,1,1,0,0,0,0,0
469932644,1,1,1,0,0,0,0,0
470438644,1,1,1,0,0,0,0,0
470944864,1,1,1,0,0,0,0,0
471450659,1,1,1,0,0,0,0,0
471956645,1,1,1,0,0,0,0,0
472462645,1,1,1,0,0,0,0,0
472970217,1,1,1,0,0,0,0,0
473475661,1,1,1,0,0,0,0,0
473981644,1,1,1,0,0,0,0,0
474487645,1,1,1,0,0,0,0,0
474993644,1,1,1,0,0,0,0,0
475499645,1,1,1,0,0,0,0,0
476005647,1,1,1,0,0,0,0,0
476511645,1,1,1,0,0,0,0,0
477017645,1,1,1,0,0,0,0,0
477523647,1,1,1,0,0,0,0,0
477853646,1,1,1,0,0,0,0,0
477864682,1,1,1,0,0,0,0,0
478371644,1,1,1,0,0,0,0,0
478877723,1,1,1,0,0,0,0,0
479383644,1,1,1,0,0,0,0,0
479889684,1,1,1,0,0,0,0,0
480396089,1,1,1,0,0,0,0,0
480901674,1,1,1,0,0,0,0,0
481407645,1,1,1,0,0,0,0,0
481913644,1,1,1,0,0,0,0,0
482419646,1,1,1,0,0,0,0,0
482926004,1,1,1,0,0,0,0,0
483431678,1,1,1,0,0,0,0,0
483937645,1,1,1,0,0,0,0,0
484444674,1,1,1,0,0,0,0,0
484950665,1,1,1,0,0,0,0,0
485456644,1,1,1,0,0,0,0,0
485962645,1,1,1,0,0,0,0,0
486469675,1,1,1,0,0,0,0,0
486975647,1,1,1,0,0,0,0,0
487481644,1,1,1,0,0,0,0,0
487492645,1,1,1,0,0,0,0,0
487998737,1,1,1,0,0,0,0,0
488504646,1,1,1,0,0,0,0,0
489010645,1,1,1,0,0,0,0,0
489516853,1,1,1,0,0,0,0,0
490022644,1,1,1,0,0,0,0,0
490528645,1,1,1,0,0,0,0,0
491034646,1,1,1,0,0,0,0,0
491540645,1,1,1,0,0,0,0,0
492048645,1,1,1,0,0,0,0,0
492554665,1,1,1,0,0,0,0,0
493060644,1,1,1,0,0,0,0,0
493566645,1,1,1,0,0,0,0,0
494072864,1,1,1,0,0,0,0,0
494578645,1,1,1,0,0,0,0,0
495084645,1,1,1,0,0,0,0,0
495590660,1,1,1,0,0,0,0,0
496097733,1,1,1,0,0,0,0,0
496603645,1,1,1,0,0,0,0,0
497109729,1,1,1,0,0,0,0,0
497615648,1,1,1,0,0,0,0,0
498121675,1,1,1,0,0,0,0,0
498462947,1,1,1,0,0,0,0,0
498968644,1,1,1,0,0,0,0,0
499474680,1,1,1,0,0,0,0,0
499980645,1,1,1,0,0,0,0,0
500486645,1,1,1,0,0,0,0,0
500993112,1,1,1,0,0,0,0,0
501498644,1,1,1,0,0,0,0,0
502004644,1,1,1,0,0,0,0,0
502510644,1,1,1,0,0,0,0,0
503016674,1,1,1,0,0,0,0,0
503522644,1,1,1,0,0,0,0,0
504028645,1,1,1,0,0,0,0,0
504534644,1,1,1,0,0,0,0,0
505040703,1,1,1,0,0,0,0,0
505546645,1,1,1,0,0,0,0,0
506052645,1,1,1,0,0,0,0,0
506558786,1,1,1,0,0,0,0,0
507064667,1,1,1,0,0,0,0,0
507570644,1,1,1,0,0,0,0,0
508076669,1,1,1,0,0,0,0,0
508582644,1,1,1,0,0,0,0,0
509089045,1,1,1,0,0,0,0,0
509594644,1,1,1,0,0,0,0,0
509924746,0,1,1,0,0,0,0,0
509938770,0,1,1,0,0,0,0,0
509955693,0,1,1,0,0,0,0,0
510466644,0,1,1,0,0,0,0,0
