timestamp,voltage_v,rssi_v,free_memory_bytes,pwm[0],pwm[1],pwm[2],pwm[3],pwm[4],pwm[5],pwm[6],pwm[7],pwm_disarmed[0],pwm_disarmed[1],pwm_disarmed[2],pwm_disarmed[3],pwm_disarmed[4],pwm_disarmed[5],pwm_disarmed[6],pwm_disarmed[7],pwm_failsafe[0],pwm_failsafe[1],pwm_failsafe[2],pwm_failsafe[3],pwm_failsafe[4],pwm_failsafe[5],pwm_failsafe[6],pwm_failsafe[7],pwm_rate_hz[0],pwm_rate_hz[1],pwm_rate_hz[2],pwm_rate_hz[3],pwm_rate_hz[4],pwm_rate_hz[5],pwm_rate_hz[6],pwm_rate_hz[7],raw_inputs[0],raw_inputs[1],raw_inputs[2],raw_inputs[3],raw_inputs[4],raw_inputs[5],raw_inputs[6],raw_inputs[7],raw_inputs[8],raw_inputs[9],raw_inputs[10],raw_inputs[11],raw_inputs[12],raw_inputs[13],raw_inputs[14],raw_inputs[15],raw_inputs[16],raw_inputs[17],status_arm_sync,status_failsafe,status_fmu_initialized,status_fmu_ok,status_init_ok,status_outputs_armed,status_raw_pwm,status_rc_ok,status_rc_dsm,status_rc_ppm,status_rc_sbus,status_rc_st24,status_rc_sumd,status_safety_off,alarm_pwm_error,alarm_rc_lost,arming_failsafe_custom,arming_fmu_armed,arming_fmu_prearmed,arming_force_failsafe,arming_io_arm_ok,arming_lockdown,arming_termination_failsafe
367031207,5.5540004,1.7080001,1464,900,900,900,900,1500,1500,0,0,900,900,900,900,0,0,0,0,0,0,0,0,0,0,0,0,400,400,400,400,50,50,50,50,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0
368041260,5.5270004,1.72,1464,900,900,900,900,1500,1500,0,0,900,900,900,900,0,0,0,0,0,0,0,0,0,0,0,0,400,400,400,400,50,50,50,50,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0
369061332,5.498,1.7060001,1464,900,900,900,900,1500,1500,0,0,900,900,900,900,0,0,0,0,0,0,0,0,0,0,0,0,400,400,400,400,50,50,50,50,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0
370091623,5.4690003,1.6750001,1464,900,900,900,900,1500,1500,0,0,900,900,900,900,0,0,0,0,0,0,0,0,0,0,0,0,400,400,400,400,50,50,50,50,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0
371106470,5.5270004,1.687,1464,900,900,900,900,1500,1500,0,0,900,900,900,900,0,0,0,0,0,0,0,0,0,0,0,0,400,400,400,400,50,50,50,50,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0
372121694,5.433,1.664,1464,900,900,900,900,1500,1500,0,0,900,900,900,900,0,0,0,0,0,0,0,0,0,0,0,0,400,400,400,400,50,50,50,50,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0
373146674,5.525,1.677,1464,900,900,900,900,1500,1500,0,0,900,900,900,900,0,0,0,0,0,0,0,0,0,0,0,0,400,400,400,400,50,50,50,50,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0
374156722,5.5540004,1.7170001,1464,900,900,900,900,1500,1500,0,0,900,900,900,900,0,0,0,0,0,0,0,0,0,0,0,0,400,400,400,400,50,50,50,50,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0
375181803,5.491,1.718,1464,900,900,900,900,1500,1500,0,0,900,900,900,900,0,0,0,0,0,0,0,0,0,0,0,0,400,400,400,400,50,50,50,50,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0
376191968,5.493,1.7030001,1464,900,900,900,900,1500,1500,0,0,900,900,900,900,0,0,0,0,0,0,0,0,0,0,0,0,400,400,400,400,50,50,50,50,1514,1521,1927,1509,1514,2067,961,961,964,964,1514,1514,1514,1514,1514,1514,1998,1998,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0
