timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
220508733,220508509,-0.86004585,-0.015791513,0.0008650484,-0.5099718,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
220558736,220558513,-0.86009955,-0.014922106,0.00077354885,-0.50990754,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
220608751,220608517,-0.86010283,-0.01428448,0.0009763162,-0.50991994,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
220658739,220658522,-0.86013687,-0.01393297,0.0011564096,-0.5098718,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
220708752,220708526,-0.86015636,-0.013519268,0.0011657111,-0.50984985,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
220758749,220758530,-0.8602435,-0.012975536,0.0010951277,-0.5097172,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
220808782,220808534,-0.8602746,-0.012468222,0.0010812,-0.5096774,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
220858761,220858538,-0.86030793,-0.0120642325,0.001190324,-0.5096307,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
220908767,220908542,-0.86032456,-0.011602932,0.0013103609,-0.50961286,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
220958787,220958546,-0.8603534,-0.011332321,0.0013650316,-0.5095703,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
221008771,221008551,-0.86040276,-0.011257532,0.0012051472,-0.5094888,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
221058784,221058555,-0.8605235,-0.011194892,0.00080699835,-0.50928706,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
221108796,221108559,-0.8606859,-0.011040534,0.000441409,-0.5090166,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
221158818,221158563,-0.86080426,-0.010677968,0.00020881419,-0.5088241,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
221208789,221208567,-0.8608546,-0.009964911,-0.00013176705,-0.50875354,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
221258793,221258572,-0.86085063,-0.009365951,-0.00057429966,-0.5087713,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
221308796,221308576,-0.86080945,-0.008980183,-0.0010490232,-0.50884706,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
221358799,221358580,-0.86077833,-0.008549301,-0.0016408177,-0.50890565,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
221408802,221408584,-0.86088175,-0.007994091,-0.0022321723,-0.5087375,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
221458807,221458588,-0.860996,-0.0071226265,-0.0030558456,-0.50855273,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
221508824,221508592,-0.86110884,-0.005856479,-0.00425909,-0.5083692,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
221558817,221558596,-0.8612789,-0.0040342533,-0.0055115125,-0.5080867,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
221608861,221608601,-0.86139035,-0.0021766992,-0.006817117,-0.50789315,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
221658824,221658605,-0.8615073,-0.000602766,-0.00819747,-0.5076788,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
221708830,221708609,-0.8615138,0.00076083536,-0.009563525,-0.50764364,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
221758840,221758613,-0.8613955,0.001556423,-0.010931319,-0.5078148,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
221808837,221808618,-0.86112267,0.0019301436,-0.012161788,-0.50824815,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
221858842,221858622,-0.8608404,0.003163174,-0.012667508,-0.50870746,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
221908846,221908626,-0.86037695,0.004987431,-0.012839272,-0.5094721,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
221958851,221958630,-0.8597511,0.0055627837,-0.013454278,-0.5105058,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
222008851,222008634,-0.85897815,0.00483589,-0.0143840015,-0.51178735,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
222058857,222058639,-0.8580706,0.0029733328,-0.015877059,-0.51327765,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
222108867,222108643,-0.85706884,0.001477524,-0.016877916,-0.5149234,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
222158932,222158647,-0.85614485,0.0005388176,-0.01740789,-0.51644236,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
222208871,222208651,-0.8553596,0.0010512209,-0.016792873,-0.5177614,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
222258876,222258655,-0.85456264,0.0019133814,-0.015632264,-0.5191095,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
222308882,222308659,-0.85365117,0.0023587663,-0.014829588,-0.5206286,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
222358894,222358664,-0.85263944,0.0025303196,-0.013771,-0.5223122,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
222408884,222408668,-0.8516747,0.001748093,-0.0132956,-0.52389926,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
222458849,222458672,-0.85079247,0.00041915913,-0.013315712,-0.52533287,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
222508937,222508676,-0.8499891,-7.514845e-05,-0.0131206075,-0.526637,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
222558901,222558681,-0.8492103,0.0010808281,-0.013081621,-0.52789164,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
222608908,222608685,-0.8484584,0.002869114,-0.013302541,-0.52908725,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
222658913,222658689,-0.8477326,0.00460955,-0.01367487,-0.5302274,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
222708913,222708693,-0.8469861,0.0063400543,-0.013665932,-0.53140146,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
222758917,222758697,-0.8462432,0.0073795593,-0.0120487735,-0.5326094,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
222808925,222808702,-0.8455259,0.0075091883,-0.010399589,-0.53378034,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
222858959,222858706,-0.8450554,0.0077974983,-0.00853368,-0.5345539,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
222908931,222908710,-0.8447667,0.0067328354,-0.006632792,-0.53505147,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
222958934,222958714,-0.84474045,0.0050882525,-0.0038035333,-0.5351384,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
223008941,223008718,-0.8449548,0.0034103217,-0.0005449271,-0.53482676,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
223059012,223053722,-0.8452802,0.0024741362,0.0017880006,-0.5343148,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
223108948,223108727,-0.8458202,0.0035191095,0.005767624,-0.53342533,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
223158949,223158731,-0.8464368,0.0067030764,0.0089571,-0.5323719,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
223208955,223208735,-0.8470321,0.008025842,0.011236161,-0.53136253,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
223258957,223258739,-0.8476426,0.0071106246,0.012568348,-0.53037125,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
223308963,223308744,-0.8483068,0.003499108,0.012595668,-0.5293436,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
223358970,223358748,-0.8487773,-0.0016325923,0.010611272,-0.52864164,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
223409014,223408752,-0.84907895,-0.010179303,0.0059348824,-0.52813447,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
223458978,223458756,-0.84920454,-0.021656962,0.00069345155,-0.5276195,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
223508983,223508761,-0.8491776,-0.03421242,-0.005723207,-0.52696705,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
223559001,223558765,-0.84922147,-0.043153215,-0.010380818,-0.52616817,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
223608985,223608769,-0.84936607,-0.05053985,-0.013354363,-0.5252091,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
223658995,223658773,-0.84977424,-0.05408386,-0.01442661,-0.52416664,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
223709009,223708778,-0.8505561,-0.053694297,-0.014289389,-0.5229409,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
223759038,223758782,-0.8516132,-0.04925426,-0.011795292,-0.52171814,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
223809036,223808786,-0.8527773,-0.04262439,-0.008298176,-0.52046645,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
223859010,223858790,-0.85399145,-0.03407067,-0.0044825706,-0.51915085,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
223909033,223908794,-0.8552224,-0.025041934,-0.0006306697,-0.5176555,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
223959018,223958799,-0.8563111,-0.018699475,0.0020582972,-0.51611775,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
224009026,224008803,-0.85724795,-0.015156194,0.0041696597,-0.51466376,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
224059040,224058807,-0.858073,-0.015503916,0.0056564976,-0.5132625,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
224109081,224108811,-0.85867834,-0.018440789,0.0073783947,-0.51212996,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
224159039,224158816,-0.85916805,-0.024109185,0.008569498,-0.5110534,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
224209083,224208820,-0.8596237,-0.029665614,0.010091974,-0.509966,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
224259042,224258824,-0.8600219,-0.03549854,0.01111045,-0.50889975,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
224309122,224308829,-0.86046284,-0.039571278,0.012433723,-0.50782216,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
224359054,224358833,-0.86101305,-0.041230615,0.013079617,-0.5067401,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
224409055,224408837,-0.861665,-0.038907766,0.0137166865,-0.505798,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
224459069,224458841,-0.8624004,-0.034884628,0.0142266145,-0.504823,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
224509077,224508845,-0.8630442,-0.030016486,0.015024829,-0.5040121,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
224559071,224558850,-0.86353856,-0.02658402,0.014623825,-0.50336915,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
224609105,224608854,-0.863855,-0.024827901,0.014619033,-0.5029158,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
224659124,224658858,-0.8640783,-0.025155725,0.0146253295,-0.50251573,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
224709147,224708862,-0.86419165,-0.024964536,0.015119653,-0.5023158,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
224759082,224758866,-0.86431575,-0.024577137,0.016256267,-0.5020856,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
224809090,224808871,-0.86444914,-0.02356206,0.018055933,-0.5018432,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
224859097,224858878,-0.8645783,-0.023251034,0.01856144,-0.5016168,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
224909167,224908879,-0.8647488,-0.022395533,0.018513445,-0.5013634,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
224959107,224958884,-0.8650028,-0.021250144,0.017529666,-0.50101036,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
225009119,225008888,-0.86530966,-0.020300575,0.015536337,-0.5005854,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
225059113,225058892,-0.86559564,-0.020222513,0.012754016,-0.50017273,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
225109268,225108897,-0.8658301,-0.021432694,0.009934521,-0.49978012,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
225159119,225158901,-0.86596924,-0.023477547,0.007501018,-0.49948955,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
225209124,225208905,-0.8661186,-0.026246428,0.00526042,-0.49912128,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
225259131,225258909,-0.86629015,-0.029064445,0.0039028693,-0.49867973,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
225309226,225308913,-0.86653763,-0.031227443,0.003778154,-0.49811956,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
225359136,225358918,-0.8669128,-0.03216667,0.004815793,-0.49739766,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
225409187,225408922,-0.86739516,-0.031880323,0.006584697,-0.49655417,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
225459145,225458926,-0.8679632,-0.030233126,0.008997749,-0.49562594,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
225509249,225508930,-0.8686555,-0.027533753,0.011647257,-0.49451378,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
225559155,225558935,-0.8693767,-0.023851627,0.014111122,-0.49337232,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
225609154,225608939,-0.8701091,-0.019804753,0.01595688,-0.4922025,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
225659165,225658944,-0.8708594,-0.015874512,0.01692614,-0.4909842,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
225709277,225708948,-0.87157387,-0.012690914,0.016766433,-0.48981318,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
225759212,225758952,-0.8722051,-0.0108584305,0.01591459,-0.4887608,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
225809193,225808956,-0.872798,-0.010370019,0.014711449,-0.48774958,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
225859183,225858961,-0.8733106,-0.011173609,0.013355892,-0.48685253,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
225909304,225908965,-0.87373585,-0.012765041,0.01233571,-0.48607686,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
225959200,225958969,-0.87413824,-0.014321877,0.0120944865,-0.48531526,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
226009205,226008974,-0.8745274,-0.015309857,0.012553701,-0.48457187,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
226059199,226058978,-0.87491,-0.015447124,0.013865696,-0.48384055,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
226109376,226108982,-0.87536293,-0.014677598,0.0154307615,-0.482997,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
226159210,226158986,-0.8757798,-0.012987565,0.017098786,-0.48223314,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
226209218,226208991,-0.87617874,-0.011156031,0.018414304,-0.48150536,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
226259215,226258995,-0.8765917,-0.00892111,0.019333474,-0.48076385,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
226309389,226308999,-0.87695086,-0.006950694,0.01977069,-0.48012286,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
226359237,226359003,-0.8772448,-0.005400923,0.019805405,-0.4796043,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
226409230,226409008,-0.8775327,-0.0043965206,0.019594118,-0.47909606,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
226459231,226459012,-0.877745,-0.0040995562,0.01925032,-0.47872373,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
226509396,226509016,-0.8779122,-0.0041359435,0.019032853,-0.47842547,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
226559173,226559021,-0.87805223,-0.004592129,0.019044023,-0.47816372,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
226609251,226609025,-0.8781857,-0.0050960593,0.019590318,-0.47789153,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
226659292,226659029,-0.8783385,-0.0054859333,0.020452982,-0.47756994,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
226709417,226709033,-0.8785274,-0.0055525624,0.021475527,-0.47717658,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
226759256,226759038,-0.8787695,-0.005495615,0.022262383,-0.47669533,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
226809265,226809042,-0.87905955,-0.005253553,0.022509756,-0.47615138,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
226859268,226859046,-0.8794455,-0.00498137,0.02192065,-0.4754685,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
226909289,226909051,-0.87985605,-0.004674136,0.020818776,-0.47476122,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
226959274,226959055,-0.88027704,-0.004557379,0.019413352,-0.4740408,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
227009299,227009059,-0.8807331,-0.0044461144,0.017907571,-0.47325358,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
227059280,227059064,-0.8811736,-0.0045615323,0.01649963,-0.47248295,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
227109294,227109068,-0.88156766,-0.0049378993,0.01562888,-0.47177324,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
227159293,227159072,-0.8819377,-0.005363699,0.015323356,-0.47108644,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
227209293,227209077,-0.882253,-0.0057625896,0.015380068,-0.470489,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
227259298,227259081,-0.88251036,-0.0061892085,0.015734093,-0.46998894,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
227309314,227309085,-0.88272727,-0.006247817,0.01626117,-0.46956274,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
227359344,227359090,-0.88284415,-0.006280904,0.016634747,-0.4693294,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
227409315,227409094,-0.882896,-0.0062760618,0.016856242,-0.46922392,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
227459318,227459098,-0.8829128,-0.00659045,0.016737966,-0.46919248,0.999998,5.8522943e-05,-0.00016906174,-0.0020471525,5
