timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
276401645,276383313,396321,0.84112406,-0.70481116,0.76753986,3
276849651,276837328,396321,0.91388273,-0.61410785,0.84269404,3
277425671,277366966,396321,0.9277355,-0.51550066,0.95765775,3
277916861,277895317,396321,0.88490295,-0.42200372,1.0533407,3
278364913,278346007,396321,0.8062576,-0.37830922,1.1173234,3
278919782,278875614,396321,0.6579516,-0.30684063,1.1536406,3
279432010,279400027,396321,0.5123683,-0.2817518,1.0945112,3
279880150,279854006,396321,0.37639612,0.0017192885,0.9067467,3
280328645,280307655,396321,0.36531025,0.24303505,0.73428357,3
280925928,280913038,396321,0.5057577,0.28868872,0.64188504,3
281395746,281364040,396321,0.54636806,0.2931705,0.6644941,3
281843753,281814593,396321,0.571656,0.28045613,0.70095015,3
282398484,282344628,396321,0.64581376,0.25951704,0.7377912,3
282889647,282874093,396321,0.6533137,0.23615435,0.75504106,3
283358917,283328356,396321,0.62364227,0.22322237,0.75422657,3
283913645,283856635,396321,0.6444602,0.16921905,0.7739948,3
284404811,284379860,396321,0.63186175,0.13778757,0.8101467,3
284852831,284830486,396321,0.6198701,0.09588752,0.79651326,3
285407523,285359985,396321,0.62799114,0.06561407,0.7946722,3
285919701,285889442,396321,0.6327232,0.039905064,0.8384384,3
286367906,286342704,396321,0.63578904,0.041668344,0.8120644,3
286922659,286867276,396321,0.6222069,0.0482794,0.8265182,3
287413843,287396962,396321,0.636068,0.04963051,0.85159093,3
287883150,287850780,396321,0.6339159,0.04940888,0.85688746,3
288331592,288304747,396321,0.63843393,0.05757346,0.86936486,3
288928997,288910213,396321,0.6408018,0.056332394,0.88573855,3
289376975,289360894,396321,0.622146,0.058990307,0.8636104,3
289932213,289885396,396321,0.62158656,0.062030524,0.87530863,3
290422834,290410720,396321,0.6326019,0.08934315,0.83958006,3
290892765,290870410,396321,0.6444092,0.07333967,0.8160852,3
291361996,291319114,396321,0.65229785,0.06077082,0.8455986,3
291895562,291845797,396321,0.66204405,0.0352327,0.8224065,3
292407810,292375471,396321,0.6615027,0.022085834,0.8345894,3
292855901,292829588,396321,0.6523053,0.008795472,0.8856146,3
293389548,293356439,396321,0.6413758,0.0021983988,0.8509191,3
293923171,293894336,396321,0.6464224,0.007252803,0.8730446,3
294371212,294348305,396321,0.6409955,0.0020374141,0.8104178,3
294926099,294877863,396321,0.63760275,0.010473882,0.8243887,3
295395870,295332194,396321,0.64177066,0.009090362,0.7951755,3
295886355,295861522,396321,0.6489812,0.025198586,0.86087596,3
296334840,296315382,396321,0.6489743,0.013359768,0.85929346,3
296889731,296844861,396321,0.6376417,0.011374967,0.82719916,3
297402113,297374607,396321,0.6289504,0.023015637,0.82524043,3
297850236,297828530,396321,0.6347681,0.014525005,0.7870132,3
298404931,298358273,396321,0.6294306,0.014563426,0.7930586,3
298917155,298887776,396321,0.62728703,0.0096515305,0.76337063,3
299365224,299341432,396321,0.62777054,0.011928574,0.78831756,3
299920087,299871148,396321,0.61827725,0.031278145,0.8115776,3
300389782,300325132,396321,0.619297,0.024492575,0.7616758,3
300880408,300854822,396321,0.63105583,0.025807733,0.7944982,3
301328463,301308732,396321,0.6348228,0.1529102,0.7074382,3
301926235,301913989,396321,0.795038,0.1656264,0.7951869,3
302395646,302367933,396321,0.82064855,0.08620766,0.87709427,3
302844132,302821648,396321,0.64446735,0.03517931,0.8420014,3
303399018,303350793,396321,0.59499687,-0.034950983,0.81357044,3
303911209,303880615,396321,0.48131692,-0.13058126,0.69248986,3
304359212,304334725,396321,0.45324028,-0.19004521,0.72837484,3
304914001,304864077,396321,0.48044816,-0.2632952,0.7631743,3
305405089,305388697,396321,0.24201632,-0.10463725,0.50777495,3
305874433,305842212,396321,0.45509672,-0.038107917,0.83307624,3
306429420,306371756,396321,0.5123459,-0.04544392,1.0096297,3
306920593,306901468,396321,0.39046025,-0.041543484,0.97613895,3
307368673,307355299,396321,0.17927867,0.030213665,0.77945423,3
307838089,307808944,396321,-0.056569763,0.1363478,0.5978273,3
308393337,308338551,396321,-0.19684307,0.21679933,0.40687972,3
308883957,308868295,396321,-0.2430346,0.2786495,0.29272076,3
309353713,309322196,396321,-0.25809348,0.24038729,0.3421769,3
309908385,309851885,396321,-0.25121075,0.11441436,0.41432616,3
310398934,310381420,396321,-0.2504741,-0.026297454,0.43921733,3
310847351,310835197,396321,-0.264704,-0.111241445,0.41760463,3
311423378,311364363,396321,-0.26040027,-0.12123531,0.4072847,3
311914418,311893937,396321,-0.25572592,-0.11526093,0.4140009,3
312362567,312348026,396321,-0.25132632,-0.12576427,0.39957562,3
312831939,312801764,396321,-0.25987667,-0.107111245,0.4133049,3
313429557,313407181,396321,-0.2514798,-0.11694513,0.42239732,3
313877698,313861270,396321,-0.25644666,-0.10639519,0.42314336,3
314347063,314315267,396321,-0.25024197,-0.07715979,0.43528187,3
314902352,314844823,396321,-0.26043501,-0.079770945,0.41061592,3
315392998,315371588,396321,-0.26023102,-0.052862145,0.43853393,3
315841155,315822067,396321,-0.26801494,-0.064245775,0.42099226,3
316396366,316351799,396321,-0.26109058,-0.0762971,0.42641416,3
316908330,316881319,396321,-0.26975185,-0.054435536,0.40013868,3
317356882,317335805,396321,-0.26030982,-0.04067184,0.39730883,3
317911646,317865225,396321,-0.27378684,0.033889487,0.40496746,3
318423809,318394699,396321,-0.2741211,0.19928545,0.33305937,3
318871899,318844153,396321,-0.25508752,0.20891085,0.37510458,3
319426713,319368677,396321,-0.23545694,0.123228446,0.42148408,3
319917747,319898526,396321,-0.2642589,-0.11905748,0.3971017,3
320365899,320348036,396321,0.02138403,-0.4300393,0.57164836,3
320813999,320800905,396321,-0.04005234,-0.41700852,0.47204518,3
321433135,321406294,396321,-0.04032252,-0.3012861,0.59408754,3
321881188,321860282,396321,-0.02133403,-0.19786759,0.6330607,3
322329300,322314185,396321,0.011765088,-0.119491905,0.7250811,3
322927069,322914910,396321,0.01865404,-0.08364617,0.80298465,3
323396340,323367840,396321,-0.005707253,-0.075231805,0.8429777,3
323844351,323820963,396321,-0.05847477,-0.12807682,0.6571206,3
324399647,324350657,396321,-0.08846501,-0.15013307,0.6498342,3
324911669,324880324,396321,-0.12784058,-0.11702419,0.5896151,3
325360122,325334403,396321,-0.14866334,-0.11626145,0.58185136,3
325915067,325862166,396321,-0.13201885,-0.15979818,0.5730848,3
326405666,326389029,396321,-0.091703266,-0.15848085,0.6021013,3
326875554,326843021,396321,-0.08948575,-0.16596346,0.68386537,3
327430318,327372854,396321,-0.059723288,-0.19023013,0.65554494,3
327921352,327899664,396321,-0.03144966,-0.17588767,0.67480975,3
328369576,328353630,396321,-0.02344267,-0.18647914,0.68391114,3
328838987,328807831,396321,-0.033702474,-0.17831147,0.70904356,3
329393700,329337519,396321,-0.07674643,-0.17162584,0.6174302,3
329884820,329867060,396321,-0.08905225,-0.14565074,0.6588056,3
330332917,330320987,396321,-0.11680404,-0.17258036,0.5932182,3
330909365,330850534,396321,-0.12723298,-0.14657593,0.6033904,3
331400088,331380359,396321,-0.16318527,-0.12627903,0.5780888,3
331848154,331834114,396321,-0.16691372,-0.12780072,0.55714774,3
332424674,332363646,396321,-0.16302964,-0.12902041,0.5579058,3
332915354,332892905,396321,-0.14224094,-0.11548941,0.5847194,3
333363824,333346520,396321,-0.12743996,-0.12776713,0.58766174,3
333833226,333800611,396321,-0.11439199,-0.12650706,0.61553395,3
334430999,334405857,396321,-0.046901602,-0.13804725,0.71773016,3
