timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
241200489,241200327,4259850,4325386,0.00018956904,0.00012663635,9.093392e-05,0.0063782316,-0.0077496334,-0.040784936,5000,4862,0,2,0
241700533,241700373,4259850,4325386,6.1730716e-05,-0.00013082128,0.00017321306,-0.0021506173,-0.0013589833,-0.047711473,5000,4862,0,2,0
242205585,242205420,4259850,4325386,0.000112878864,-0.00022545068,9.7938384e-05,-0.005316945,0.004278686,-0.049990945,5000,4862,0,2,0
242705632,242705466,4259850,4325386,-5.0799532e-05,0.00027575018,-8.995506e-05,0.0023356606,-0.0040422743,-0.05576192,5000,4863,0,2,0
243205678,243205513,4259850,4325386,-5.3275675e-05,-3.4316683e-06,-0.000105186075,-0.00032778343,-0.0044886325,-0.052140817,5000,4862,0,2,0
243705727,243700559,4259850,4325386,-0.00020255607,-0.000112102025,-0.00010755872,0.0013133031,0.0019963218,-0.050438363,5001,5349,0,2,0
244205769,244205606,4259850,4325386,7.879279e-06,6.016089e-06,4.878833e-05,0.0063861394,-0.0031751557,-0.04238783,5000,4862,0,2,0
244700828,244700652,4259850,4325386,4.7371388e-05,-0.00027023614,9.9910954e-05,-0.0006081816,-0.0023332275,-0.04735464,5000,4863,0,2,0
245200892,245200699,4259850,4325386,-0.00036966807,0.00014795721,5.3391082e-05,0.003935429,-0.0076238243,-0.049362283,5001,4863,0,2,0
245700904,245700746,4259850,4325386,-0.00015753883,-0.00012399495,7.259633e-05,3.421648e-05,0.0030240824,-0.04303436,5001,4863,0,2,0
246201063,246200792,4259850,4325386,4.569232e-05,0.0003821263,-3.5685207e-05,-0.004523956,-0.0029749102,-0.05220504,5000,4863,0,2,0
246706002,246705840,4259850,4325386,-7.393588e-06,0.00015015091,3.4595032e-05,-0.004323817,6.733292e-05,-0.044932984,5001,4863,0,2,0
247206126,247205886,4259850,4325386,0.00014695316,0.00017551416,1.800147e-05,6.2643805e-05,-0.005089266,-0.049654156,5000,4863,0,2,0
247706096,247705933,4259850,4325386,0.00010784105,0.00015687245,7.531293e-05,0.00025334884,-0.0031142284,-0.042711467,5000,4863,0,2,0
248201148,248200980,4259850,4325386,-4.0912106e-05,0.00019475646,5.8339458e-05,0.005830146,-0.003812045,-0.042391144,5001,4862,0,2,0
248701192,248701027,4259850,4325386,0.00019516527,-1.0467657e-05,8.15581e-05,0.0069589154,-0.00048144997,-0.04069478,5001,4863,0,2,0
249201256,249201074,4259850,4325386,0.00014114582,-0.00023990808,0.00016199556,0.003988045,-0.0014834201,-0.034496754,5001,4862,0,2,0
249701297,249701121,4259850,4325386,0.00018079615,-0.00023291138,0.0002830623,-0.0041282563,0.0053025973,-0.04152031,5000,4866,0,2,0
250201339,250201168,4259850,4325386,0.00017597267,-0.00047150912,0.0002623769,0.000954252,-0.002152797,-0.042197064,5000,4861,0,2,0
250706374,250706215,4259850,4325386,7.916453e-06,-7.082669e-05,0.00020689923,-0.005081372,-0.0018528716,-0.05349548,5000,4862,0,2,0
251206434,251206263,4259850,4325386,0.00064899976,0.0037548142,0.00010460651,0.0034091072,-0.0026575658,-0.049731366,5001,4861,0,2,0
251701472,251701310,4259850,4325386,-0.0024497476,-0.0014697065,0.0004893926,-0.0040893257,-0.0012058485,-0.054612085,5001,4861,0,2,0
252201518,252201357,4259850,4325386,8.47459e-05,-0.001543168,0.00042909136,-0.004876419,-0.0040800828,-0.07680225,5000,7293,0,2,0
252701567,252701404,4259850,4325386,0.0035854536,0.0006177004,0.00032807945,-0.0013222783,0.0027391033,-0.0435672,5000,4860,0,2,0
253201628,253201452,4259850,4325386,-0.0032094931,-0.0023450055,-0.000116098716,-0.0026805676,-0.0030765405,-0.051531315,5001,4862,0,2,0
253701663,253701499,4259850,4325386,-0.0011630578,-0.0002495614,-0.0008240769,0.0005137765,-0.0006903944,-0.04860735,5000,4862,0,2,0
254206714,254206547,4259850,4325386,0.00033095735,0.007226476,-7.62926e-05,-0.0030729943,0.013284715,-0.03966886,5000,4861,0,2,0
254706754,254706595,4259850,4325386,0.00056759425,0.0012099653,-0.0006729676,-0.0048707686,-0.0011698772,-0.042088296,5001,4862,0,2,0
255201803,255201642,4259850,4325386,0.000247432,-0.00051823654,-0.0006734663,-0.0018603611,0.007115984,-0.053770456,5001,4865,0,2,0
255701850,255701690,4259850,4325386,0.0017491889,0.0011541576,-0.00060624356,0.003398176,0.006118264,-0.040018097,5001,4863,0,2,0
256201903,256201737,4259850,4325386,0.0017840136,0.0010466834,-0.0006722962,0.0065078717,0.01578314,-0.036826257,5000,4863,0,2,0
256701944,256701785,4259850,4325386,-0.0021389595,-0.0019736688,-0.0010528958,0.0044986987,-0.00033892866,-0.04748655,5000,4863,0,2,0
257201996,257201833,4259850,4325386,-4.5417168e-05,-0.001772654,-0.00076515204,0.00056734,0.017998727,-0.051653575,5000,4863,0,2,0
257702075,257701881,4259850,4325386,0.00075567287,-0.0017094515,-0.00068034127,0.001035403,0.007137196,-0.04050247,5001,4862,0,2,0
258207108,258206929,4259850,4325386,0.00082540954,1.7139035e-05,0.00016316627,-0.0010520844,0.0142817665,-0.06441434,5000,4863,0,2,0
258702140,258701977,4259850,4325386,4.357808e-06,0.00030373954,0.0002238295,-0.0025602072,0.007083023,-0.05514702,5000,4863,0,2,0
259202187,259202025,4259850,4325386,0.0008362227,0.0002535605,0.0006240535,-0.0013382998,0.011669313,-0.077351354,5000,7294,0,2,0
259702237,259702073,4259850,4325386,-0.0021433579,-0.0009649972,9.80111e-05,-0.008194704,0.0107202325,-0.041758977,5000,4864,0,2,0
260202287,260202122,4259850,4325386,-0.00012469197,0.0015496218,-2.510462e-05,-0.005584981,0.009088746,-0.048473656,4999,4862,0,2,0
260702332,260702170,4259850,4325386,0.0022931763,0.0013661843,0.0002244093,0.0019079128,0.0048084897,-0.041161876,5000,4863,0,2,0
261202382,261202219,4259850,4325386,-0.0014976385,-0.0022388094,0.0004393702,-0.0003419535,0.0063280454,-0.05446617,5001,4863,0,2,0
261702442,261702267,4259850,4325386,0.00015927534,-0.0024365257,0.00044031272,-0.0041994397,0.00031318484,-0.051792417,5000,4862,0,2,0
262202485,262202316,4259850,4325386,-0.00047309513,-0.0003969653,0.00041178364,-0.004886932,0.008470185,-0.04188431,5001,4863,0,2,0
262702532,262702364,4259850,4325386,0.00062702625,0.0016662116,0.0002294872,0.00078314065,0.0010439806,-0.054372925,5000,4862,0,2,0
263202582,263202413,4259850,4325386,0.00025410036,0.00030579345,0.00012295331,0.00427087,-0.007928289,-0.04968276,5000,5350,0,2,0
263702638,263702462,4259850,4325386,-0.00048529342,0.0002987622,0.00019533705,0.007020801,0.0009799895,-0.03713226,5001,4864,0,2,0
264202689,264202516,4259850,4325386,-0.00018457214,-0.00034405713,0.0004328608,0.03409883,0.016050057,-0.04944876,5006,4865,0,2,0
264702729,264702560,4259850,4325386,-0.00077597913,8.301089e-05,0.00016394079,0.03098145,8.2631086e-05,-0.042695872,5000,4863,0,2,0
265202795,265202609,4259850,4325386,0.00040946802,3.7216476e-05,-0.0009069231,0.034177583,-0.019107908,-0.031270746,5000,4862,0,2,0
265702825,265702658,4259850,4325386,-4.97782e-05,0.00073154544,-0.000872562,0.024333697,0.020626716,-0.0061046826,5001,4863,0,2,0
