timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
371222533,371222459,4259850,6.374323,7.707414,-7.906612,38.5,0,0,0,0,5
372222460,372222389,4259850,-0.54396266,0.7431602,-9.124782,38.5,0,0,0,0,5
373224339,373224270,4259850,1.5322891,5.4089804,-15.958791,38.5,0,0,0,0,5
374221873,374221805,4259850,-5.5162406,-11.02482,-8.105809,38.5,0,0,0,0,5
375221905,375221811,4259850,-2.8117504,-0.7431602,-12.265974,38.5,0,0,0,0,5
376221973,376221819,4259850,0.1838747,-3.6851554,-6.313031,38.5,0,0,0,0,5
377224238,377224169,4259850,5.9069743,5.9222975,-3.937983,38.5,0,0,0,0,5
378221671,378221599,4259850,-0.54396266,-3.5549107,-7.8912888,38.5,0,0,0,0,5
379221700,379221549,4259850,-3.5855565,-1.5246277,-13.468822,38.0,0,0,0,0,5
380224583,380224512,4259850,-4.543237,-9.469546,-9.569145,38.5,0,0,0,0,5
381221683,381221609,4259850,-2.6048915,-1.133894,-13.116395,38.5,0,0,0,0,5
382221653,382221583,4259850,-3.148854,0.0,-15.874516,38.5,0,0,0,0,5
383223836,383223767,4259850,3.7770927,6.8493323,-7.8299975,38.0,0,0,0,0,5
384223830,384223761,4259850,-3.095224,-1.0266337,-18.640297,38.0,0,0,0,0,5
385221416,385221348,4259850,-2.1758506,4.4436383,-6.964254,38.0,0,0,0,0,5
386221386,386221317,4259850,12.618401,2.198835,-16.916471,38.0,0,0,0,0,5
387223830,387223760,4259850,2.099236,-16.931795,-14.962803,38.5,0,0,0,0,5
388220898,388220829,4259850,0.4060566,4.0145974,-3.8383842,38.5,0,0,0,0,5
389223176,389223084,4259850,-2.8270733,27.374346,-14.587392,38.0,0,0,0,0,5
390223114,390222999,4259850,2.7581203,20.08831,-14.771267,38.5,0,0,0,0,5
391223194,391223057,4259850,-0.7431602,5.707777,-15.353537,38.0,0,0,0,0,5
392220789,392220720,4259850,4.0452433,-0.3217807,-9.201396,38.0,0,0,0,0,5
393223333,393223264,4259850,-6.7650566,13.323254,-15.139016,38.5,0,0,0,0,5
394223466,394223224,4259850,2.719813,7.7457213,-12.848244,38.0,0,0,0,0,5
395220626,395220555,4259850,-5.2021217,6.2210937,-11.208694,38.5,0,0,0,0,5
396222431,396222360,4259850,-4.3900084,13.162363,-10.350613,38.5,0,0,0,0,5
397222361,397222292,4259850,-5.6158395,20.77018,-9.584468,38.5,0,0,0,0,5
398224752,398224683,4259850,6.2823853,-21.842781,-8.979214,38.5,0,0,0,0,5
399222252,399222183,4259850,6.427953,19.758867,-5.4932566,38.0,0,0,0,0,5
400222541,400222455,4259850,-6.933608,2.6431987,-16.878164,38.0,0,0,0,0,5
401224627,401224555,4259850,7.638461,-34.032143,-6.5811815,38.0,0,0,0,0,5
402221895,402221825,4259850,5.77673,-6.979577,-2.099236,38.0,0,0,0,0,5
403221725,403221657,4259850,-0.5592855,26.776752,-8.871954,38.5,0,0,0,0,5
404223563,404223493,4259850,-5.1331687,-28.186459,-10.028832,38.5,0,0,0,0,5
405223479,405223409,4259850,-3.7464468,21.122606,-8.74171,38.5,0,0,0,0,5
406220973,406220904,4259850,1.8004397,-24.953327,-9.638099,38.5,0,0,0,0,5
407223322,407223248,4259850,-0.8580819,22.149239,-9.638099,38.5,0,0,0,0,5
408223261,408223191,4259850,-2.4899697,-3.0492554,-3.8766913,38.5,0,0,0,0,5
409220718,409220647,4259850,0.41371804,10.28166,-4.3287168,38.5,0,0,0,0,5
