timestamp,timestamp_sample,yaw_composite,yaw_variance,yaw[0],yaw[1],yaw[2],yaw[3],yaw[4],innov_vn[0],innov_vn[1],innov_vn[2],innov_vn[3],innov_vn[4],innov_ve[0],innov_ve[1],innov_ve[2],innov_ve[3],innov_ve[4],weight[0],weight[1],weight[2],weight[3],weight[4]
250256838,250156164,1.6670792,0.69669443,-2.5336857,-0.52334046,0.83642787,1.6458243,2.447015,0.58229214,0.17255339,-0.112250194,-0.0059028417,0.25323585,0.18380396,0.60831547,0.2697436,0.011001885,-0.08857447,0.023085102,0.020271683,0.20648251,0.5227197,0.22744104
251266826,251166259,1.7307242,0.5890238,-2.53793,-0.44247356,0.92551327,1.6992655,2.4605467,0.3986619,0.52127147,0.08805364,-0.050044566,0.005407661,-0.24014528,0.34102607,0.36570057,0.14456059,-0.10844387,0.017267384,0.013726505,0.19354185,0.5468082,0.22865608
252256917,252156353,1.7454515,0.32691008,-2.6135278,-0.1693277,1.1266533,1.7541022,2.3849185,1.7762424,0.23739833,-0.22648442,0.18500245,0.8517269,0.60347855,1.7002913,0.5145533,-0.042571604,-0.22076744,0.0029342873,0.0031239658,0.18894379,0.6301649,0.17483309
253256918,253156448,1.8039355,0.23707215,-2.6970186,-0.025075646,1.2672592,1.798308,2.3352504,0.40604693,0.91298807,0.19204926,-0.009031892,-0.07248348,-0.73057675,0.31999242,0.35954487,0.12701294,-0.20811301,0.000798342,0.00066069874,0.15745233,0.6749849,0.1661037
254257117,254156542,1.5871058,0.09457588,2.939322,0.27285376,1.2831519,1.5984786,1.9130988,-3.3598752,1.248192,0.5510162,-0.22106856,-1.1550442,-0.8076539,-2.6504977,-0.1288513,0.37788677,0.5386615,0.00015946288,0.00015946288,0.13569145,0.7643233,0.09966638
255257347,255156638,1.389365,0.03491797,2.2400653,0.5843193,1.2625594,1.3970041,1.522016,-2.6582427,-0.06294179,-0.3047371,-0.43647838,-0.61928797,1.7942064,-2.4411592,-0.4367832,-0.06999886,0.3828225,0.00014839605,0.00014839605,0.1130296,0.8263608,0.060312804
256257276,256156733,1.2696328,0.02646525,1.9434298,0.58545333,1.1840128,1.2735503,1.3426076,-0.85713863,-1.0598927,-0.8932302,-0.8240979,-0.7460618,0.8379168,-0.9555446,-0.47432715,-0.4290821,-0.25074613,0.00016371891,0.00016371891,0.096391924,0.8350733,0.06820735
257257393,257156829,1.1700675,0.020761058,1.7327613,0.54302216,1.0989852,1.1722268,1.2255898,0.9422848,-0.85063183,-0.391961,-0.2556759,-0.11782496,-0.33225393,0.706987,-0.23740435,-0.38363576,-0.38481092,0.00016465312,0.00014366122,0.08783322,0.8318783,0.079980195
258257708,258156925,1.0774851,0.017031426,1.5503627,0.5092186,1.0163584,1.079318,1.1256189,0.11544374,0.058634758,-0.08435866,-0.06698838,-0.02830711,0.39320862,0.7168671,0.40471852,0.32646465,0.34638476,0.00013634084,0.00013634084,0.086426586,0.83515006,0.078150705
259257894,259157021,1.0963538,0.01624079,1.5602586,0.54891276,1.0393223,1.0984586,1.1440763,-1.4302106,0.5578263,-0.40307975,-0.5168792,-0.5904013,0.45834345,-0.18899208,0.2800159,0.27619678,0.32474488,0.00014631437,0.00015068256,0.09009566,0.8386881,0.07091927
260258047,260157118,1.1158073,0.015530141,1.5692737,0.59994394,1.0663971,1.118227,1.1601937,-0.86990434,0.26676786,-0.31190693,-0.36889136,-0.40154493,0.12672973,-0.15914947,0.04093206,0.027831674,0.059020936,0.00013987906,0.00019799707,0.09892622,0.83535606,0.06537981
261257863,261157214,1.1492717,0.015356111,1.5966735,0.63816446,1.1025916,1.1518937,1.1908255,-0.50433326,-0.315786,-0.5440944,-0.54901403,-0.54105806,-0.5420451,0.16842592,-0.2117302,-0.27000132,-0.28335813,0.0001483303,0.00025186068,0.10267149,0.8327375,0.06419078
262257938,262157311,1.2290304,0.0144917965,1.6618031,0.74325854,1.1866893,1.2315401,1.2689371,0.4044213,0.14335652,0.15113443,0.168255,0.1916776,-0.3743196,0.31539774,-0.095214665,-0.14405116,-0.15788984,0.00013719792,0.00025870427,0.10686398,0.82998765,0.06275242
263258004,263157409,1.2822447,0.014169777,1.6973823,0.80176353,1.2414452,1.2848299,1.3195136,0.2450314,0.27805424,0.19233385,0.19333084,0.20032112,-0.20866498,0.18806572,-0.03276805,-0.06198705,-0.068447165,0.00013726909,0.00022924916,0.10801354,0.82957757,0.06204236
264258390,264157506,1.3188409,0.014145171,1.7303959,0.8394461,1.2777427,1.3213412,1.3562415,0.053551912,0.8733184,0.45086813,0.41171384,0.38300413,0.4745155,0.53618616,0.575321,0.5643304,0.5674207,0.00015307614,0.00018333574,0.10670785,0.8306207,0.062335033
265258207,265157604,1.3418012,0.009869981,1.6326487,0.96166396,1.3117629,1.3438511,1.3680851,-1.7492236,1.755965,0.06573558,-0.107168436,-0.24776363,0.41003132,-0.5340543,0.25101805,0.2868681,0.3201294,0.00014662008,0.00014662008,0.10835268,0.83195025,0.059403885
266258526,266157703,1.1957855,0.0054337396,1.3459547,0.96836364,1.1805304,1.1971407,1.2084649,-1.6471148,1.1064086,-0.3277018,-0.45023417,-0.5457032,0.4471798,-0.8952832,-0.102036476,-0.051589012,-0.008781433,0.0001493088,0.0001493088,0.117464304,0.8285776,0.053659488
267258581,267157801,1.1148238,0.0033132776,1.1867462,0.98634946,1.1074892,1.1156102,1.120268,-1.6134558,0.0013384819,-0.9206004,-0.9838791,-1.0315623,-0.41945362,-1.4890537,-0.97052956,-0.93231964,-0.90152264,0.0002145191,0.0002145191,0.124301285,0.8247099,0.050559826
268258552,268157900,1.1342793,0.0025080857,1.1647472,1.0595938,1.1309955,1.1347144,1.1358753,-1.7494712,-0.92438555,-1.4571047,-1.4837799,-1.5028424,-1.5066662,-2.0838013,-1.8742533,-1.8557673,-1.8406324,0.00051552634,0.00051552634,0.12636812,0.8226372,0.049963664
269258653,269158000,1.1381464,0.0022570752,1.1489594,1.0992185,1.1371552,1.1383759,1.1388801,-2.0027523,-1.6952991,-1.9384098,-1.9437184,-1.9463286,-2.974247,-3.2447042,-3.210518,-3.2031708,-3.1957054,0.0036519207,0.0036519207,0.12358487,0.81805253,0.05105872
270258584,270158099,1.5842717,0.002178522,1.5816214,1.5698109,1.5860043,1.5848324,1.5838588,-3.3068633,-3.1885061,-3.3264694,-3.322268,-3.317453,-3.4679108,-3.5298357,-3.708291,-3.69876,-3.6753159,0.03487494,0.03487494,0.108883336,0.76742464,0.053942025
271258914,271158198,1.4633154,0.0016304522,1.4626124,1.4621652,1.4658167,1.4636052,1.4624925,-1.6558728,-1.6733518,-1.7086425,-1.699059,-1.6891961,-2.482873,-2.7364979,-2.7985191,-2.7667007,-2.724966,0.27057552,0.063397236,0.05974119,0.5505293,0.055756778
272258783,272158298,1.2261697,0.0015209228,1.2264595,1.2260854,1.2279421,1.2256398,1.224488,-1.2451688,-1.2753669,-1.2924763,-1.2851243,-1.2765474,-2.683464,-2.905285,-2.8986034,-2.8774586,-2.852665,0.60568404,0.033023983,0.026816403,0.29707643,0.037399072
273259262,273158397,1.1217471,0.0015877882,1.1215392,1.1256158,1.1255128,1.1228384,1.1212579,-1.7560439,-1.7807381,-1.7918531,-1.7893835,-1.7839987,-3.573676,-3.7499561,-3.7222805,-3.7107449,-3.6980076,0.857761,0.009132654,0.0085833585,0.10855995,0.015963055
274259213,274158497,1.0816572,0.0016711634,1.0810952,1.091166,1.0923499,1.089165,1.085943,-2.2352793,-2.2417986,-2.2552152,-2.256572,-2.2541919,-3.6569843,-3.7882233,-3.7653923,-3.7575254,-3.748889,0.93261266,0.009226179,0.009226179,0.03970898,0.009226179
275259266,275158596,1.095691,0.0017437674,1.0952133,1.1093009,1.1086602,1.105225,1.101755,-2.265409,-2.2551737,-2.271913,-2.2755964,-2.27535,-3.5582008,-3.6611624,-3.6449614,-3.6376371,-3.6294813,0.95569974,0.008620992,0.00870356,0.018077651,0.0088979965
276259194,276158696,0.72020566,0.0017417814,0.7174763,0.7359259,0.7316333,0.7281897,0.72510785,-1.5767956,-1.4883604,-1.5364361,-1.55443,-1.5626755,-5.0199785,-5.008337,-5.002635,-5.014477,-5.0275364,0.78572345,0.053569123,0.053569123,0.053569123,0.053569123
277259303,277158794,0.027921798,0.03304372,-3.0366204,-0.4545035,-0.02196242,0.08714347,0.53001773,-5.0091467,-6.44205,-0.52557373,1.351963,5.8078423,15.128395,0.018021584,-0.31433487,0.3309896,4.535047,0.0002861013,0.0002861013,0.54212636,0.45701537,0.0002861013
278259758,278158893,-0.8663748,0.006025285,2.3765533,-0.975627,-0.87370795,-0.85592794,-0.8855838,1.2340927,-3.1379251,-0.30099487,0.17620659,2.6628437,35.339504,-1.5481539,-0.63025,-0.7227316,-1.3975525,0.00020071537,0.00020071537,0.5846161,0.41478175,0.00020071537
279259645,279158992,-1.6329201,0.0032657085,1.6057565,-1.6810175,-1.6337572,-1.6312928,-1.7213215,26.416115,-1.7281437,-0.33084488,-0.19178152,-0.08808184,50.82867,-1.3516445,-1.1078568,-1.2108345,-0.74403954,0.00021823817,0.00021823817,0.63712114,0.36216623,0.0002761819
