timestamp,timestamp_sample,windspeed_north,windspeed_east,variance_north,variance_east,tas_innov,tas_innov_var,beta_innov,beta_innov_var
333794559,333694863,1.9812961,3.0017064,0.08313476,0.035741873,6.5048294,2.1455722,0.14704344,0.090299815
334791918,334692524,1.9795777,2.9856417,0.08330301,0.035706326,6.5048294,2.1455722,0.14278333,0.090290666
335789682,335690183,1.9776738,2.9702337,0.08347114,0.035688207,6.5048294,2.1455722,0.12374191,0.09027401
336797024,336697718,1.9755526,2.9552433,0.083631545,0.035661712,6.5048294,2.1455722,0.14517991,0.090266
337794839,337695376,1.970318,2.941888,0.08376067,0.03567318,6.5048294,2.1455722,0.13775519,0.09024358
338792260,338693034,1.9550421,2.9303887,0.08376459,0.03569712,6.5048294,2.1455722,0.13759398,0.090248816
339789976,339690692,1.9224099,2.923021,0.08348313,0.03573844,6.5048294,2.1455722,0.2061996,0.090278685
340797473,340698228,1.8757883,2.9265578,0.082890935,0.035843752,6.5048294,2.1455722,0.21764569,0.09032291
341795241,341695886,1.8299297,2.9304695,0.08202582,0.035988316,6.5048294,2.1455722,0.1725776,0.09034922
342792829,342693543,1.7700568,2.943488,0.080567576,0.03608256,6.5048294,2.1455722,0.10793703,0.0904186
343800350,343701078,1.749472,2.948013,0.079437554,0.03613179,6.5048294,2.1455722,0.037646934,0.090378426
344797950,344698735,1.740276,2.950074,0.078645915,0.036116153,6.5048294,2.1455722,0.009042383,0.09034728
345795677,345696392,1.7432877,2.9462488,0.078179464,0.03600618,6.5048294,2.1455722,-0.04364575,0.090293035
346793312,346694049,1.7487717,2.937806,0.078203976,0.035976965,6.5048294,2.1455722,-0.072145045,0.09023934
347790985,347691705,1.7532861,2.9237282,0.07844631,0.03600049,6.5048294,2.1455722,-0.12562737,0.09021597
348798452,348699239,1.7502651,2.9060042,0.07873929,0.036096767,6.5048294,2.1455722,-0.13780396,0.09019914
349796106,349696895,1.7397225,2.8935168,0.07893784,0.036321636,6.5048294,2.1455722,-0.14181566,0.09020247
350793967,350694550,1.720231,2.8847353,0.078973986,0.03661863,6.5048294,2.1455722,-0.15161261,0.090218805
