timestamp,main_state_changes,main_state
312308646,3,3
312814720,3,3
313320646,3,3
313826647,3,3
314332702,3,3
314838691,3,3
315344646,3,3
315850646,3,3
316356645,3,3
316863673,3,3
317369646,3,3
317875647,3,3
318381665,3,3
318887947,3,3
319393646,3,3
319899646,3,3
320405645,3,3
320911646,3,3
321417646,3,3
321923645,3,3
322429646,3,3
322935677,3,3
323441667,3,3
323947647,3,3
324453646,3,3
324959646,3,3
325465727,3,3
325971645,3,3
326477666,3,3
326983701,3,3
327489648,3,3
327996037,3,3
328501659,3,3
329007659,3,3
329513894,3,3
330019647,3,3
330525647,3,3
331031645,3,3
331538939,3,3
332044665,3,3
332550646,3,3
333056646,3,3
333562661,3,3
334068646,3,3
334574643,3,3
335081646,3,3
335587646,3,3
336093645,3,3
336599907,3,3
337105646,3,3
337611855,3,3
338117646,3,3
338623648,3,3
339129743,3,3
339635648,3,3
340141646,3,3
340647679,3,3
341153647,3,3
341659879,3,3
342166646,3,3
342672645,3,3
343178647,3,3
343684971,3,3
344191647,3,3
344697646,3,3
345205136,3,3
345710647,3,3
346217665,3,3
346723656,3,3
347229645,3,3
347735646,3,3
348241670,3,3
348747646,3,3
349253647,3,3
349759646,3,3
350265786,3,3
350771647,3,3
351277990,3,3
351783646,3,3
352289645,3,3
352795792,3,3
353301646,3,3
353807646,3,3
354313647,3,3
354819644,3,3
355326018,3,3
355831647,3,3
356337646,3,3
356843734,3,3
357349646,3,3
357856949,3,3
358362647,3,3
358868680,3,3
359374661,3,3
359880645,3,3
360386646,3,3
360892668,3,3
361398677,3,3
361904646,3,3
362410666,3,3
362916645,3,3
363422645,3,3
363929663,3,3
364435646,3,3
364941646,3,3
365447647,3,3
365953746,3,3
366459972,3,3
366965671,3,3
367471645,3,3
367977645,3,3
368483646,3,3
368989645,3,3
369495648,3,3
370001787,3,3
370507681,3,3
371013646,3,3
371519647,3,3
372025647,3,3
372532009,3,3
373037646,3,3
373544646,3,3
374050737,3,3
374556645,3,3
375063666,3,3
375569708,3,3
376075690,3,3
376582646,3,3
377088782,3,3
377594646,3,3
378100646,3,3
378606647,3,3
379112645,3,3
379618647,3,3
380124728,3,3
380630667,3,3
381136646,3,3
381643225,3,3
382148667,3,3
382654648,3,3
383160671,3,3
383424703,3,3
383930759,3,3
384436665,3,3
384943010,3,3
385448680,3,3
385955646,3,3
386463020,3,3
386968646,3,3
387430665,3,3
387938170,3,3
388179666,3,3
388323066,3,3
388344667,3,3
388454715,3,3
388960659,3,3
389466646,3,3
389973645,3,3
390479647,3,3
390985646,3,3
391491646,3,3
391997647,3,3
392503647,3,3
393009645,3,3
393515649,3,3
394021666,3,3
394527659,3,3
395033654,3,3
395540275,3,3
396045664,3,3
396551659,3,3
397057646,3,3
397564876,3,3
398071646,3,3
398577645,3,3
399083923,3,3
399589935,3,3
400095675,3,3
400601647,3,3
401107646,3,3
401614002,3,3
402119646,3,3
402625646,3,3
403131646,3,3
403637695,3,3
404143646,3,3
404649667,3,3
405155650,3,3
405661664,3,3
406167646,3,3
406673644,3,3
407179647,3,3
407685646,3,3
408191679,3,3
408697659,3,3
409203665,3,3
409709716,3,3
410215646,3,3
410722130,3,3
411227661,3,3
411733645,3,3
412239912,3,3
412745649,3,3
413251645,3,3
413757645,3,3
414263645,3,3
414770016,3,3
415275646,3,3
415781665,3,3
416287756,3,3
416795056,3,3
417302646,3,3
417808646,3,3
418314644,3,3
418820647,3,3
419326646,3,3
419832690,3,3
420338646,3,3
420844666,3,3
421350828,3,3
421856646,3,3
422362772,3,3
422868665,3,3
423374646,3,3
423880812,3,3
424386646,3,3
424892645,3,3
425398744,3,3
425904646,3,3
426410807,3,3
426916666,3,3
427422646,3,3
427928969,3,3
428434646,3,3
428941269,3,3
429447647,3,3
429954661,3,3
430461457,3,3
430966647,3,3
431472645,3,3
431978976,3,3
432484658,3,3
432990646,3,3
433496646,3,3
434002645,3,3
434508646,3,3
435014679,3,3
435520645,3,3
436027667,3,3
436533734,3,3
437039645,3,3
437545646,3,3
438051896,3,3
438557646,3,3
439063665,3,3
439569745,3,3
440075646,3,3
440582729,3,3
441088645,3,3
441594688,3,3
442100645,3,3
442607647,3,3
443113646,3,3
443619780,3,3
444126658,3,3
444632729,3,3
445138647,3,3
445644783,3,3
446150650,3,3
446656645,3,3
447162665,3,3
447668646,3,3
448174729,3,3
448680645,3,3
449186646,3,3
449692848,3,3
450198646,3,3
450704665,3,3
451210646,3,3
451716646,3,3
452223412,3,3
452728646,3,3
453234664,3,3
453740646,3,3
454246647,3,3
454752692,3,3
455258646,3,3
455764998,3,3
456270646,3,3
456776666,3,3
457282645,3,3
457788724,3,3
458294646,3,3
458800741,3,3
459306659,3,3
459812645,3,3
460319093,3,3
460824645,3,3
461330645,3,3
461836645,3,3
462342647,3,3
462849170,3,3
463354646,3,3
463860671,3,3
464366645,3,3
464872645,3,3
465378645,3,3
465884646,3,3
466390646,3,3
466896645,3,3
467402645,3,3
467908646,3,3
468414645,3,3
468920645,3,3
469426729,3,3
469932645,3,3
470438645,3,3
470944865,3,3
471450660,3,3
471956646,3,3
472462645,3,3
472970218,3,3
473475662,3,3
473981645,3,3
474487645,3,3
474993645,3,3
475499646,3,3
476005648,3,3
476511646,3,3
477017646,3,3
477523648,3,3
477853647,4,1
477864683,4,1
478371645,4,1
478877724,4,1
479383645,4,1
479889685,4,1
480396090,4,1
480901675,4,1
481407646,4,1
481913645,4,1
482419646,4,1
482926005,4,1
483431678,4,1
483937645,4,1
484444675,4,1
484950666,4,1
485456645,4,1
485962645,4,1
486469676,4,1
486975648,4,1
487481645,4,1
487492646,4,1
487998738,4,1
488504647,4,1
489010646,4,1
489516854,4,1
490022645,4,1
490528646,4,1
491034647,4,1
491540646,4,1
492048646,4,1
492554665,4,1
493060645,4,1
493566646,4,1
494072865,4,1
494578646,4,1
495084645,4,1
495590661,4,1
496097733,4,1
496603646,4,1
497109730,4,1
497615648,4,1
498121675,4,1
498462948,4,1
498968645,4,1
499474681,4,1
499980646,4,1
500486645,4,1
500993113,4,1
501498645,4,1
502004645,4,1
502510645,4,1
503016675,4,1
503522660,4,1
504028646,4,1
504534645,4,1
505040703,4,1
505546646,4,1
506052646,4,1
506558787,4,1
507064667,4,1
507570645,4,1
508076669,4,1
508582645,4,1
509089046,4,1
509594645,4,1
509924747,4,1
509938771,4,1
509955694,4,1
510466645,4,1
