"Auto,Manual Flag",Event Flag,GPS Time,Latitude (deg),Longitude (deg),Altitude (m)
1,4,1377700040.61082,36.663181,126.340891,48.2
1,4,1377700040.80076,36.663204,126.340865,48.2
1,4,1377700041.01088,36.66323,126.340836,48.3
1,4,1377700041.21097,36.663254,126.340808,48.4
1,4,1377700041.41098,36.663278,126.34078,48.3
1,4,1377700041.61102,36.663303,126.340752,48.4
1,4,1377700041.81107,36.663327,126.340724,48.4
1,4,1377700042.01085,36.663351,126.340696,48.5
1,4,1377700042.20093,36.663374,126.34067,48.5
1,4,1377700042.41106,36.6634,126.340641,48.5
1,4,1377700042.61105,36.663424,126.340614,48.6
1,4,1377700042.81111,36.663448,126.340587,48.7
1,4,1377700043.01097,36.663472,126.340559,48.7
1,4,1377700043.21099,36.663496,126.340532,48.7
1,4,1377700043.40108,36.663519,126.340506,48.8
1,4,1377700043.60109,36.663543,126.340478,48.8
1,4,1377700043.81131,36.663568,126.340449,48.8
1,4,1377700044.01102,36.663592,126.340422,48.9
1,4,1377700044.21106,36.663616,126.340395,48.9
1,4,1377700044.41129,36.66364,126.340368,48.9
1,4,1377700044.61131,36.663664,126.340341,48.9
1,4,1377700044.80129,36.663687,126.340316,48.9
1,4,1377700045.00127,36.663712,126.340291,48.9
1,4,1377700045.21132,36.663739,126.340266,49
1,4,1377700045.41157,36.663767,126.340246,49.1
1,4,1377700045.61138,36.663796,126.340231,49.2
1,4,1377700045.81128,36.663826,126.340221,49.4
1,4,1377700046.01143,36.663858,126.340218,49.7
1,4,1377700046.20129,36.663887,126.340221,50.1
1,4,1377700046.40129,36.663918,126.340228,50.5
1,4,1377700046.6115,36.66395,126.340239,50.8
1,4,1377700046.81138,36.663979,126.340252,51
1,4,1377700047.01145,36.664008,126.340269,51.1
1,4,1377700047.21176,36.664035,126.340289,51.2
1,4,1377700047.40137,36.66406,126.34031,51.2
1,4,1377700047.60142,36.664086,126.340333,51.1
1,4,1377700047.80162,36.664111,126.340359,50.9
1,4,1377700048.01143,36.664136,126.340387,50.8
1,4,1377700048.21148,36.664159,126.340414,50.6
1,4,1377700048.41159,36.664181,126.340443,50.4
1,4,1377700048.61154,36.664203,126.340472,50.3
1,4,1377700048.80154,36.664224,126.340499,50.1
1,4,1377700049.00165,36.664245,126.340529,49.9
1,4,1377700049.20155,36.664264,126.340559,49.6
1,4,1377700049.40154,36.664283,126.340589,49.2
1,4,1377700049.61174,36.6643,126.340623,48.7
1,4,1377700049.81174,36.664314,126.340659,48.3
1,4,1377700050.01163,36.664323,126.340696,48
1,4,1377700050.20163,36.664328,126.340734,47.8
1,4,1377700050.4016,36.664328,126.340774,47.8
1,4,1377700050.60163,36.664323,126.340815,47.9
1,4,1377700050.81186,36.664312,126.340858,47.9
1,4,1377700051.0117,36.664297,126.340897,48
1,4,1377700051.21173,36.664278,126.340933,48.1
1,4,1377700051.41175,36.664255,126.340966,48.2
1,4,1377700051.60196,36.66423,126.340995,48.2
1,4,1377700051.80181,36.664202,126.341022,48.1
1,4,1377700052.00175,36.664172,126.341044,48
1,4,1377700052.21199,36.664139,126.341063,47.8
1,4,1377700052.41181,36.664106,126.341076,47.5
1,4,1377700052.61201,36.664074,126.341085,47.3
1,4,1377700052.80178,36.664043,126.341091,46.9
1,4,1377700053.00202,36.664011,126.341095,46.5
1,4,1377700053.20211,36.663978,126.341097,46
1,4,1377700053.40202,36.663946,126.341098,45.4
1,4,1377700053.61188,36.663913,126.341097,44.8
1,4,1377700053.8121,36.663882,126.341097,44.2
1,4,1377700054.01216,36.663851,126.341097,43.5
1,4,1377700054.20194,36.663822,126.341098,42.8
1,4,1377700054.40197,36.663792,126.3411,42.2
1,4,1377700054.6021,36.663761,126.341103,41.5
1,4,1377700054.80195,36.663731,126.341107,40.9
1,4,1377700055.01221,36.6637,126.341113,40.2
1,4,1377700055.21223,36.66367,126.341119,39.6
1,4,1377700055.412,36.663641,126.341127,38.9
1,4,1377700055.60202,36.663614,126.341136,38.3
1,4,1377700055.8022,36.663585,126.341145,37.7
1,4,1377700056.00205,36.663557,126.341155,37.1
1,4,1377700056.20206,36.663529,126.341167,36.5
1,4,1377700056.41211,36.6635,126.341179,35.9
1,4,1377700056.61229,36.663472,126.341191,35.4
1,4,1377700056.81228,36.663445,126.341203,34.8
1,4,1377700057.00213,36.663419,126.341216,34.2
1,4,1377700057.20215,36.663392,126.341229,33.5
1,4,1377700057.40224,36.663365,126.341242,32.9
1,4,1377700057.60218,36.663339,126.341256,32.3
1,4,1377700057.81257,36.663311,126.34127,31.6
1,4,1377700058.01221,36.663284,126.341284,31
1,4,1377700058.20228,36.663259,126.341298,30.5
1,4,1377700058.40226,36.663233,126.341311,29.9
1,4,1377700058.60227,36.663207,126.341325,29.3
1,4,1377700058.80244,36.663181,126.341339,28.7
1,4,1377700059.00234,36.663154,126.341353,28.1
1,4,1377700059.21249,36.663127,126.341367,27.5
1,4,1377700059.41235,36.6631,126.34138,26.9
1,4,1377700059.60235,36.663075,126.341393,26.4
1,4,1377700059.80243,36.663049,126.341406,25.8
1,4,1377700060.00238,36.663022,126.341419,25.2
1,4,1377700060.20264,36.662996,126.341433,24.7
1,4,1377700060.40244,36.66297,126.341446,24.1
1,4,1377700060.61257,36.662943,126.341459,23.6
1,4,1377700060.81259,36.662918,126.341472,23
1,4,1377700061.00248,36.662893,126.341484,22.5
1,4,1377700061.20247,36.662868,126.341496,21.9
1,4,1377700061.4027,36.662842,126.341509,21.4
1,4,1377700061.60254,36.662816,126.34152,20.8
1,4,1377700061.80253,36.66279,126.34153,20.2
1,4,1377700062.0126,36.662762,126.341538,19.6
1,4,1377700062.2126,36.662735,126.341544,19
1,4,1377700062.4028,36.662709,126.341547,18.5
1,4,1377700062.60274,36.662682,126.341549,18
1,4,1377700062.80279,36.662654,126.34155,17.5
1,4,1377700063.00262,36.662627,126.341549,17
1,4,1377700063.20267,36.662599,126.341548,16.5
1,4,1377700063.41293,36.66257,126.341547,16
1,4,1377700063.61287,36.662543,126.341547,15.6
1,4,1377700063.80271,36.662517,126.34155,15.1
1,4,1377700064.00289,36.66249,126.341555,14.5
1,4,1377700064.20275,36.662464,126.341565,13.9
1,4,1377700064.40274,36.662438,126.341578,13.4
1,4,1377700064.60274,36.662413,126.341594,12.9
1,4,1377700064.81292,36.662387,126.341614,12.3
1,4,1377700065.00277,36.662365,126.341634,11.9
1,4,1377700065.20297,36.662341,126.341656,11.6
