"Auto,Manual Flag",Event Flag,GPS Time,Latitude (deg),Longitude (deg),Altitude (m)
1,1,1377696486.14487,36.660712,126.342028,49.8
1,1,1377696486.34485,36.660717,126.342029,49.8
1,1,1377696486.54489,36.660724,126.34203,49.8
1,1,1377696486.74498,36.660731,126.342031,49.9
1,1,1377696486.94497,36.660738,126.342032,49.9
1,1,1377696487.14501,36.660744,126.342034,49.9
1,1,1377696487.34511,36.66075,126.342035,49.9
1,1,1377696487.54513,36.660756,126.342037,50
1,1,1377696487.74517,36.660762,126.342039,50
1,1,1377696487.94531,36.660767,126.34204,50
1,1,1377696488.14525,36.660772,126.342042,50
1,1,1377696488.34529,36.660776,126.342043,50
1,1,1377696488.54532,36.66078,126.342044,50
1,1,1377696488.74535,36.660784,126.342045,50
1,1,1377696488.94539,36.660787,126.342046,50.1
1,1,1377696489.14544,36.66079,126.342047,50.1
1,1,1377696489.34548,36.660793,126.342048,50.1
1,1,1377696489.54556,36.660796,126.342048,50.1
1,1,1377696489.74556,36.660799,126.342049,50.1
1,1,1377696489.94564,36.660801,126.342049,50.1
1,1,1377696490.14571,36.660803,126.34205,50.1
1,1,1377696490.34571,36.660805,126.34205,50.1
1,1,1377696490.54574,36.660805,126.34205,50
1,1,1377696490.74589,36.660806,126.34205,50
1,1,1377696490.94584,36.660806,126.342049,50
1,1,1377696491.14583,36.660806,126.342049,49.9
1,1,1377696491.34595,36.660806,126.342048,49.9
1,1,1377696491.54599,36.660806,126.342048,49.9
1,1,1377696491.74602,36.660806,126.342048,49.9
1,1,1377696491.94609,36.660806,126.342047,49.9
1,1,1377696492.14613,36.660805,126.342047,49.9
1,1,1377696492.34614,36.660805,126.342046,49.9
1,1,1377696492.54624,36.660805,126.342046,49.9
1,1,1377696492.74624,36.660805,126.342046,49.9
1,1,1377696492.94634,36.660805,126.342046,49.9
1,2,1377696493.14632,36.660805,126.342045,49.9
1,2,1377696493.34637,36.660805,126.342045,49.9
1,2,1377696493.54649,36.660805,126.342047,49.9
1,2,1377696493.74648,36.660806,126.34205,49.9
1,2,1377696493.9465,36.660807,126.342055,49.9
1,2,1377696494.14657,36.66081,126.342063,49.9
1,2,1377696494.34659,36.660813,126.342072,50.1
1,2,1377696494.54668,36.660816,126.342084,50.2
1,2,1377696494.74668,36.660821,126.342097,50.4
1,2,1377696494.94671,36.660826,126.342112,50.6
1,2,1377696495.1468,36.660832,126.342129,50.7
1,2,1377696495.3468,36.660839,126.342147,50.8
1,2,1377696495.54689,36.660847,126.342168,50.9
1,2,1377696495.74698,36.660855,126.34219,51
1,2,1377696495.94694,36.660864,126.342214,51.1
1,2,1377696496.14701,36.660874,126.342239,51.2
1,2,1377696496.34702,36.660884,126.342265,51.3
1,2,1377696496.54706,36.660894,126.342294,51.4
1,2,1377696496.74713,36.660904,126.342324,51.5
1,2,1377696496.94715,36.660915,126.342354,51.7
1,2,1377696497.14719,36.660927,126.342387,51.9
1,2,1377696497.34721,36.660938,126.34242,52
1,2,1377696497.54723,36.660949,126.342455,52.2
1,2,1377696497.74731,36.660961,126.34249,52.4
1,2,1377696497.94736,36.660972,126.342527,52.5
1,2,1377696498.14739,36.660982,126.342565,52.5
1,2,1377696498.34749,36.660992,126.342604,52.4
1,2,1377696498.54753,36.660999,126.342644,52.3
1,2,1377696498.74753,36.661005,126.342685,52.2
1,2,1377696498.94764,36.66101,126.342726,52.2
1,2,1377696499.14767,36.661015,126.342767,52.1
1,2,1377696499.34772,36.661019,126.342809,52
1,2,1377696499.54781,36.661023,126.34285,51.9
1,2,1377696499.74784,36.661028,126.342892,51.8
1,2,1377696499.94791,36.661033,126.342934,51.8
1,2,1377696500.14792,36.661039,126.342975,51.7
1,2,1377696500.33792,36.661044,126.343015,51.6
1,2,1377696500.54792,36.661051,126.343058,51.5
1,2,1377696500.74799,36.661057,126.343099,51.4
1,2,1377696500.948,36.661065,126.34314,51.4
1,2,1377696501.14805,36.661072,126.34318,51.3
1,2,1377696501.34815,36.66108,126.343221,51.2
